detected_record_id,product_id,protein,material,processing_comparison,source_id,compound_group,compound_name,cas,ri_db_wax,identification_method,numeric_match_factor,source_match_quality_floor_pct,mr09_identification_status,t1_smoked_spiced_ng_g,t2_unsmoked_unspiced_ng_g,sem,p_level,t1_detected,t2_detected,processing_role,unit,notes
BDC-017,beef:muscle,beef,dry-cured beef strips,T1 smoked + spices vs T2 unsmoked + unspiced,SRC-BEEF-CURE-SMOKE-001,Hydrocarbons,Styrene,,1257,MS;RI,,,partial_no_numeric_match_factor_with_ri,31.15,22.36,4.06,NS,yes,yes,,ng/g dry matter,
BDC-018,beef:muscle,beef,dry-cured beef strips,T1 smoked + spices vs T2 unsmoked + unspiced,SRC-BEEF-CURE-SMOKE-001,Hydrocarbons,Tridecane,,1295,MS;RI,,,partial_no_numeric_match_factor_with_ri,92.78,40.93,18.32,NS,yes,yes,,ng/g dry matter,
BDC-019,beef:muscle,beef,dry-cured beef strips,T1 smoked + spices vs T2 unsmoked + unspiced,SRC-BEEF-CURE-SMOKE-001,Hydrocarbons,Caryophyllene,,1605,MS;RI,,,partial_no_numeric_match_factor_with_ri,469.66,,146.65,-,yes,no,,ng/g dry matter,
BDC-020,beef:muscle,beef,dry-cured beef strips,T1 smoked + spices vs T2 unsmoked + unspiced,SRC-BEEF-CURE-SMOKE-001,Hydrocarbons,Phenylethyne,,1607,MS,,,partial_ms_only_no_numeric_match_factor,,2.53,0.51,-,no,yes,,ng/g dry matter,
BDC-021,beef:muscle,beef,dry-cured beef strips,T1 smoked + spices vs T2 unsmoked + unspiced,SRC-BEEF-CURE-SMOKE-001,Hydrocarbons,Naphthalene,,1750,MS;RI,,,partial_no_numeric_match_factor_with_ri,79.25,,13.95,-,yes,no,,ng/g dry matter,
BDC-022,beef:muscle,beef,dry-cured beef strips,T1 smoked + spices vs T2 unsmoked + unspiced,SRC-BEEF-CURE-SMOKE-001,Aldehydes,3-Methylbutanal,,911,MS;RI,,,partial_no_numeric_match_factor_with_ri,14.74,3.71,2.34,*,yes,yes,,ng/g dry matter,
BDC-023,beef:muscle,beef,dry-cured beef strips,T1 smoked + spices vs T2 unsmoked + unspiced,SRC-BEEF-CURE-SMOKE-001,Aldehydes,Hexanal,,1078,MS;RI,,,partial_no_numeric_match_factor_with_ri,25.68,126.47,29.14,NS,yes,yes,,ng/g dry matter,
BDC-024,beef:muscle,beef,dry-cured beef strips,T1 smoked + spices vs T2 unsmoked + unspiced,SRC-BEEF-CURE-SMOKE-001,Aldehydes,Heptanal,,1183,MS;RI,,,partial_no_numeric_match_factor_with_ri,47.77,65.84,10.84,NS,yes,yes,,ng/g dry matter,
BDC-025,beef:muscle,beef,dry-cured beef strips,T1 smoked + spices vs T2 unsmoked + unspiced,SRC-BEEF-CURE-SMOKE-001,Aldehydes,Octanal,,1289,MS;RI,,,partial_no_numeric_match_factor_with_ri,39.83,77.14,19.08,NS,yes,yes,,ng/g dry matter,
BDC-026,beef:muscle,beef,dry-cured beef strips,T1 smoked + spices vs T2 unsmoked + unspiced,SRC-BEEF-CURE-SMOKE-001,Aldehydes,(Z)-2-Heptenal,,1322,MS;RI,,,partial_no_numeric_match_factor_with_ri,,6.11,2.62,-,no,yes,,ng/g dry matter,
BDC-027,beef:muscle,beef,dry-cured beef strips,T1 smoked + spices vs T2 unsmoked + unspiced,SRC-BEEF-CURE-SMOKE-001,Aldehydes,Nonanal,,1395,MS;RI,,,partial_no_numeric_match_factor_with_ri,157.76,253.13,54.29,NS,yes,yes,,ng/g dry matter,
BDC-028,beef:muscle,beef,dry-cured beef strips,T1 smoked + spices vs T2 unsmoked + unspiced,SRC-BEEF-CURE-SMOKE-001,Aldehydes,(E)-2-Octenal,,1431,MS;RI,,,partial_no_numeric_match_factor_with_ri,3.93,13.29,3.48,NS,yes,yes,,ng/g dry matter,
BDC-029,beef:muscle,beef,dry-cured beef strips,T1 smoked + spices vs T2 unsmoked + unspiced,SRC-BEEF-CURE-SMOKE-001,Aldehydes,Decanal,,1496,MS;RI,,,partial_no_numeric_match_factor_with_ri,,11.86,2.45,-,no,yes,,ng/g dry matter,
BDC-030,beef:muscle,beef,dry-cured beef strips,T1 smoked + spices vs T2 unsmoked + unspiced,SRC-BEEF-CURE-SMOKE-001,Aldehydes,(E)-2-Nonenal,,1536,MS;RI,,,partial_no_numeric_match_factor_with_ri,,15.68,3.87,-,no,yes,,ng/g dry matter,
BDC-031,beef:muscle,beef,dry-cured beef strips,T1 smoked + spices vs T2 unsmoked + unspiced,SRC-BEEF-CURE-SMOKE-001,Aldehydes,4-Isopropylbenzaldehyde,,1789,MS,,,partial_ms_only_no_numeric_match_factor,18.1,,2.57,-,yes,no,,ng/g dry matter,
BDC-032,beef:muscle,beef,dry-cured beef strips,T1 smoked + spices vs T2 unsmoked + unspiced,SRC-BEEF-CURE-SMOKE-001,Ketones,2-Pentanone,,973,MS;RI,,,partial_no_numeric_match_factor_with_ri,,9.95,2.17,-,no,yes,,ng/g dry matter,
BDC-033,beef:muscle,beef,dry-cured beef strips,T1 smoked + spices vs T2 unsmoked + unspiced,SRC-BEEF-CURE-SMOKE-001,Ketones,2-Octanone,,1282,MS;RI,,,partial_no_numeric_match_factor_with_ri,,9.54,2.68,-,no,yes,,ng/g dry matter,
BDC-034,beef:muscle,beef,dry-cured beef strips,T1 smoked + spices vs T2 unsmoked + unspiced,SRC-BEEF-CURE-SMOKE-001,Ketones,"2,3-Octanedione",,1319,MS;RI,,,partial_no_numeric_match_factor_with_ri,,53.36,12.49,-,no,yes,,ng/g dry matter,
BDC-035,beef:muscle,beef,dry-cured beef strips,T1 smoked + spices vs T2 unsmoked + unspiced,SRC-BEEF-CURE-SMOKE-001,Ketones,"2-Cyclopenten-1-one,2-methyl-",,1374,MS;RI,,,partial_no_numeric_match_factor_with_ri,30.21,,4.24,-,yes,no,,ng/g dry matter,
BDC-036,beef:muscle,beef,dry-cured beef strips,T1 smoked + spices vs T2 unsmoked + unspiced,SRC-BEEF-CURE-SMOKE-001,Ketones,2-Nonanone,,1387,MS;RI,,,partial_no_numeric_match_factor_with_ri,,2.14,0.62,-,no,yes,,ng/g dry matter,
BDC-037,beef:muscle,beef,dry-cured beef strips,T1 smoked + spices vs T2 unsmoked + unspiced,SRC-BEEF-CURE-SMOKE-001,Ketones,"2-Cyclopenten-1-one,2,3-dimethyl-",,1454,MS,,,partial_ms_only_no_numeric_match_factor,19.52,,2.65,-,yes,no,,ng/g dry matter,
BDC-038,beef:muscle,beef,dry-cured beef strips,T1 smoked + spices vs T2 unsmoked + unspiced,SRC-BEEF-CURE-SMOKE-001,Ketones,"2-Cyclopenten-1-one,3,4-dimethyl-",,1489,MS,,,partial_ms_only_no_numeric_match_factor,31.84,,4.19,-,yes,no,,ng/g dry matter,
BDC-039,beef:muscle,beef,dry-cured beef strips,T1 smoked + spices vs T2 unsmoked + unspiced,SRC-BEEF-CURE-SMOKE-001,Ketones,"2-Cyclopenten-1-one,2,3,4-trimethyl-",,1504,MS,,,partial_ms_only_no_numeric_match_factor,17.42,,2.85,-,yes,no,,ng/g dry matter,
BDC-040,beef:muscle,beef,dry-cured beef strips,T1 smoked + spices vs T2 unsmoked + unspiced,SRC-BEEF-CURE-SMOKE-001,Ketones,"2-Cyclopenten-1-one,3-methyl-",,1527,MS,,,partial_ms_only_no_numeric_match_factor,68.4,,8.8,-,yes,no,,ng/g dry matter,
BDC-041,beef:muscle,beef,dry-cured beef strips,T1 smoked + spices vs T2 unsmoked + unspiced,SRC-BEEF-CURE-SMOKE-001,Ketones,"2-Cyclopenten-1-one,3,4,4-trimethyl-",,1563,MS,,,partial_ms_only_no_numeric_match_factor,14.44,,2.14,-,yes,no,,ng/g dry matter,
BDC-042,beef:muscle,beef,dry-cured beef strips,T1 smoked + spices vs T2 unsmoked + unspiced,SRC-BEEF-CURE-SMOKE-001,Ketones,"2-Cyclopenten-1-one,3,5,5-trimethyl-",,1620,MS,,,partial_ms_only_no_numeric_match_factor,10.39,,1.46,-,yes,no,,ng/g dry matter,
BDC-043,beef:muscle,beef,dry-cured beef strips,T1 smoked + spices vs T2 unsmoked + unspiced,SRC-BEEF-CURE-SMOKE-001,Ketones,"2-Cyclopenten-1-one,3-ethyl-",,1639,MS,,,partial_ms_only_no_numeric_match_factor,12.53,,1.96,-,yes,no,,ng/g dry matter,
BDC-044,beef:muscle,beef,dry-cured beef strips,T1 smoked + spices vs T2 unsmoked + unspiced,SRC-BEEF-CURE-SMOKE-001,Ketones,Acetophenone,,1657,MS;RI,,,partial_no_numeric_match_factor_with_ri,31.67,,3.32,-,yes,no,,ng/g dry matter,
BDC-045,beef:muscle,beef,dry-cured beef strips,T1 smoked + spices vs T2 unsmoked + unspiced,SRC-BEEF-CURE-SMOKE-001,Ketones,"4-Hepten-3-one,4-methyl-",,1731,MS,,,partial_ms_only_no_numeric_match_factor,25.16,,3.37,-,yes,no,,ng/g dry matter,
BDC-046,beef:muscle,beef,dry-cured beef strips,T1 smoked + spices vs T2 unsmoked + unspiced,SRC-BEEF-CURE-SMOKE-001,Ketones,"1H-Inden-1-one,2,3-dihydro-",,2027,MS,,,partial_ms_only_no_numeric_match_factor,23.36,,2.83,-,yes,no,,ng/g dry matter,
BDC-047,beef:muscle,beef,dry-cured beef strips,T1 smoked + spices vs T2 unsmoked + unspiced,SRC-BEEF-CURE-SMOKE-001,Alcohols,Ethanol,,936,MS;RI,,,partial_no_numeric_match_factor_with_ri,35.13,,4.65,-,yes,no,,ng/g dry matter,
BDC-048,beef:muscle,beef,dry-cured beef strips,T1 smoked + spices vs T2 unsmoked + unspiced,SRC-BEEF-CURE-SMOKE-001,Alcohols,1-Penten-3-ol,,1159,MS;RI,,,partial_no_numeric_match_factor_with_ri,,5.88,1.58,-,no,yes,,ng/g dry matter,
BDC-049,beef:muscle,beef,dry-cured beef strips,T1 smoked + spices vs T2 unsmoked + unspiced,SRC-BEEF-CURE-SMOKE-001,Alcohols,3-Methyl-1-butanol,,1209,MS;RI,,,partial_no_numeric_match_factor_with_ri,18.09,17.19,6.17,NS,yes,yes,,ng/g dry matter,
BDC-050,beef:muscle,beef,dry-cured beef strips,T1 smoked + spices vs T2 unsmoked + unspiced,SRC-BEEF-CURE-SMOKE-001,Alcohols,1-Pentanol,,1239,MS;RI,,,partial_no_numeric_match_factor_with_ri,2.68,16.95,3.18,*,yes,yes,,ng/g dry matter,
BDC-051,beef:muscle,beef,dry-cured beef strips,T1 smoked + spices vs T2 unsmoked + unspiced,SRC-BEEF-CURE-SMOKE-001,Alcohols,1-Hexanol,,1355,MS;RI,,,partial_no_numeric_match_factor_with_ri,16.8,68.34,18.76,NS,yes,yes,,ng/g dry matter,
BDC-052,beef:muscle,beef,dry-cured beef strips,T1 smoked + spices vs T2 unsmoked + unspiced,SRC-BEEF-CURE-SMOKE-001,Alcohols,1-Octen-3-ol,,1451,MS;RI,,,partial_no_numeric_match_factor_with_ri,21.41,83.85,15.77,NS,yes,yes,,ng/g dry matter,
BDC-053,beef:muscle,beef,dry-cured beef strips,T1 smoked + spices vs T2 unsmoked + unspiced,SRC-BEEF-CURE-SMOKE-001,Alcohols,1-Heptanol,,1458,MS;RI,,,partial_no_numeric_match_factor_with_ri,16.59,53.03,10.66,NS,yes,yes,,ng/g dry matter,
BDC-054,beef:muscle,beef,dry-cured beef strips,T1 smoked + spices vs T2 unsmoked + unspiced,SRC-BEEF-CURE-SMOKE-001,Alcohols,(E)-2-Decen-1-ol,,1466,MS,,,partial_ms_only_no_numeric_match_factor,,2.02,0.59,-,no,yes,,ng/g dry matter,
BDC-055,beef:muscle,beef,dry-cured beef strips,T1 smoked + spices vs T2 unsmoked + unspiced,SRC-BEEF-CURE-SMOKE-001,Alcohols,"1,6-Octadien-3-ol,3,7-dimethyl-",,1548,MS,,,partial_ms_only_no_numeric_match_factor,132.09,,14.72,-,yes,no,,ng/g dry matter,
BDC-056,beef:muscle,beef,dry-cured beef strips,T1 smoked + spices vs T2 unsmoked + unspiced,SRC-BEEF-CURE-SMOKE-001,Alcohols,1-Octanol,,1560,MS;RI,,,partial_no_numeric_match_factor_with_ri,20.13,51.94,10.36,NS,yes,yes,,ng/g dry matter,
BDC-057,beef:muscle,beef,dry-cured beef strips,T1 smoked + spices vs T2 unsmoked + unspiced,SRC-BEEF-CURE-SMOKE-001,Alcohols,"3-Cyclohexen-1-ol,4-methyl-1-(1-methylethyl)-",,1608,MS,,,partial_ms_only_no_numeric_match_factor,66.87,,10.78,-,yes,no,,ng/g dry matter,
BDC-058,beef:muscle,beef,dry-cured beef strips,T1 smoked + spices vs T2 unsmoked + unspiced,SRC-BEEF-CURE-SMOKE-001,Alcohols,(E)-2-Octen-1-ol,,1615,MS,,,partial_ms_only_no_numeric_match_factor,,14.96,3.21,-,no,yes,,ng/g dry matter,
BDC-059,beef:muscle,beef,dry-cured beef strips,T1 smoked + spices vs T2 unsmoked + unspiced,SRC-BEEF-CURE-SMOKE-001,Alcohols,1-Nonanol,,1659,MS;RI,,,partial_no_numeric_match_factor_with_ri,,9.17,1.88,-,no,yes,,ng/g dry matter,
BDC-060,beef:muscle,beef,dry-cured beef strips,T1 smoked + spices vs T2 unsmoked + unspiced,SRC-BEEF-CURE-SMOKE-001,Alcohols,2-Furanmethanol,,1662,MS,,,partial_ms_only_no_numeric_match_factor,129.69,,16.03,-,yes,no,,ng/g dry matter,
BDC-061,beef:muscle,beef,dry-cured beef strips,T1 smoked + spices vs T2 unsmoked + unspiced,SRC-BEEF-CURE-SMOKE-001,Alcohols,Phenylethyl alcohol,,1918,MS,,,partial_ms_only_no_numeric_match_factor,15.4,,2.37,-,yes,no,,ng/g dry matter,
BDC-062,beef:muscle,beef,dry-cured beef strips,T1 smoked + spices vs T2 unsmoked + unspiced,SRC-BEEF-CURE-SMOKE-001,Nitrogenous,3-Methylpyridine,,1222,MS;RI,,,partial_no_numeric_match_factor_with_ri,20.3,,2.25,-,yes,no,,ng/g dry matter,
BDC-063,beef:muscle,beef,dry-cured beef strips,T1 smoked + spices vs T2 unsmoked + unspiced,SRC-BEEF-CURE-SMOKE-001,Nitrogenous,4-Methylpyridine,,1299,MS;RI,,,partial_no_numeric_match_factor_with_ri,14.45,,1.94,-,yes,no,,ng/g dry matter,
BDC-064,beef:muscle,beef,dry-cured beef strips,T1 smoked + spices vs T2 unsmoked + unspiced,SRC-BEEF-CURE-SMOKE-001,Nitrogenous,"2,4-Dimethylpyridine",,1333,MS;RI,,,partial_no_numeric_match_factor_with_ri,26.18,,7.34,-,yes,no,,ng/g dry matter,
BDC-065,beef:muscle,beef,dry-cured beef strips,T1 smoked + spices vs T2 unsmoked + unspiced,SRC-BEEF-CURE-SMOKE-001,Nitrogenous,"3,5-Dimethylpyridine",,1344,MS;RI,,,partial_no_numeric_match_factor_with_ri,14.49,,2.15,-,yes,no,,ng/g dry matter,
BDC-066,beef:muscle,beef,dry-cured beef strips,T1 smoked + spices vs T2 unsmoked + unspiced,SRC-BEEF-CURE-SMOKE-001,Nitrogenous,Methoxy-phenyl oxime,,1753,MS,,,partial_ms_only_no_numeric_match_factor,60.32,,6.5,-,yes,no,,ng/g dry matter,
BDC-067,beef:muscle,beef,dry-cured beef strips,T1 smoked + spices vs T2 unsmoked + unspiced,SRC-BEEF-CURE-SMOKE-001,Furans,2-Pentylfuran,,1230,MS;RI,,,partial_no_numeric_match_factor_with_ri,9.7,29.32,6.84,NS,yes,yes,,ng/g dry matter,
BDC-068,beef:muscle,beef,dry-cured beef strips,T1 smoked + spices vs T2 unsmoked + unspiced,SRC-BEEF-CURE-SMOKE-001,Furans,Furfural,,1465,MS;RI,,,partial_no_numeric_match_factor_with_ri,48.49,,6.21,-,yes,no,,ng/g dry matter,
BDC-069,beef:muscle,beef,dry-cured beef strips,T1 smoked + spices vs T2 unsmoked + unspiced,SRC-BEEF-CURE-SMOKE-001,Furans,1-(2-Furanyl)-ethanone,,1508,MS,,,partial_ms_only_no_numeric_match_factor,65.66,,7.69,-,yes,no,,ng/g dry matter,
BDC-070,beef:muscle,beef,dry-cured beef strips,T1 smoked + spices vs T2 unsmoked + unspiced,SRC-BEEF-CURE-SMOKE-001,Furans,5-Methyl-2-furancarboxaldehyde,,1577,MS;RI,,,partial_no_numeric_match_factor_with_ri,11.65,,2.43,-,yes,no,,ng/g dry matter,
BDC-071,beef:muscle,beef,dry-cured beef strips,T1 smoked + spices vs T2 unsmoked + unspiced,SRC-BEEF-CURE-SMOKE-001,Esters,Ethyl acetate,,884,MS;RI,,,partial_no_numeric_match_factor_with_ri,9.74,,1.83,-,yes,no,,ng/g dry matter,
BDC-072,beef:muscle,beef,dry-cured beef strips,T1 smoked + spices vs T2 unsmoked + unspiced,SRC-BEEF-CURE-SMOKE-001,Esters,Ethyl hexanoate,,1233,MS;RI,,,partial_no_numeric_match_factor_with_ri,9.04,,1.45,-,yes,no,,ng/g dry matter,
BDC-073,beef:muscle,beef,dry-cured beef strips,T1 smoked + spices vs T2 unsmoked + unspiced,SRC-BEEF-CURE-SMOKE-001,Ethers,Estragole,,1675,MS;RI,,,partial_no_numeric_match_factor_with_ri,32.84,,5.63,-,yes,no,,ng/g dry matter,
BDC-074,beef:muscle,beef,dry-cured beef strips,T1 smoked + spices vs T2 unsmoked + unspiced,SRC-BEEF-CURE-SMOKE-001,Ethers,1-Methoxy-4-(1-propenyl)-benzene,,1832,MS,,,partial_ms_only_no_numeric_match_factor,419.4,,94.98,-,yes,no,,ng/g dry matter,
BDC-075,beef:muscle,beef,dry-cured beef strips,T1 smoked + spices vs T2 unsmoked + unspiced,SRC-BEEF-CURE-SMOKE-001,Phenols,2-Methoxyphenol,,1863,MS;RI,,,partial_no_numeric_match_factor_with_ri,244.17,,31.12,-,yes,no,smoke/spice-associated phenol layer,ng/g dry matter,T1 combines smoking and spices; compound attribution to smoke alone is not assumed even though source PCA identifies phenols as smoke derivatives.
BDC-076,beef:muscle,beef,dry-cured beef strips,T1 smoked + spices vs T2 unsmoked + unspiced,SRC-BEEF-CURE-SMOKE-001,Phenols,4-Methoxy-3-methylphenol,,1876,MS,,,partial_ms_only_no_numeric_match_factor,20.98,,2.67,-,yes,no,smoke/spice-associated phenol layer,ng/g dry matter,T1 combines smoking and spices; compound attribution to smoke alone is not assumed even though source PCA identifies phenols as smoke derivatives.
BDC-077,beef:muscle,beef,dry-cured beef strips,T1 smoked + spices vs T2 unsmoked + unspiced,SRC-BEEF-CURE-SMOKE-001,Phenols,"2,6-Dimethylphenol",,1912,MS,,,partial_ms_only_no_numeric_match_factor,19.61,,2.73,-,yes,no,smoke/spice-associated phenol layer,ng/g dry matter,T1 combines smoking and spices; compound attribution to smoke alone is not assumed even though source PCA identifies phenols as smoke derivatives.
BDC-078,beef:muscle,beef,dry-cured beef strips,T1 smoked + spices vs T2 unsmoked + unspiced,SRC-BEEF-CURE-SMOKE-001,Phenols,2-Methoxy-4-methylphenol,,1961,MS;RI,,,partial_no_numeric_match_factor_with_ri,97.45,,12.48,-,yes,no,smoke/spice-associated phenol layer,ng/g dry matter,T1 combines smoking and spices; compound attribution to smoke alone is not assumed even though source PCA identifies phenols as smoke derivatives.
BDC-079,beef:muscle,beef,dry-cured beef strips,T1 smoked + spices vs T2 unsmoked + unspiced,SRC-BEEF-CURE-SMOKE-001,Phenols,2-Methylphenol,,2005,MS,,,partial_ms_only_no_numeric_match_factor,105.39,,14.93,-,yes,no,smoke/spice-associated phenol layer,ng/g dry matter,T1 combines smoking and spices; compound attribution to smoke alone is not assumed even though source PCA identifies phenols as smoke derivatives.
BDC-080,beef:muscle,beef,dry-cured beef strips,T1 smoked + spices vs T2 unsmoked + unspiced,SRC-BEEF-CURE-SMOKE-001,Phenols,Phenol,,2008,MS;RI,,,partial_no_numeric_match_factor_with_ri,257.57,,31.2,-,yes,no,smoke/spice-associated phenol layer,ng/g dry matter,T1 combines smoking and spices; compound attribution to smoke alone is not assumed even though source PCA identifies phenols as smoke derivatives.
BDC-081,beef:muscle,beef,dry-cured beef strips,T1 smoked + spices vs T2 unsmoked + unspiced,SRC-BEEF-CURE-SMOKE-001,Phenols,4-Ethyl-2-methoxyphenol,,2035,MS,,,partial_ms_only_no_numeric_match_factor,62.93,,8.14,-,yes,no,smoke/spice-associated phenol layer,ng/g dry matter,T1 combines smoking and spices; compound attribution to smoke alone is not assumed even though source PCA identifies phenols as smoke derivatives.
BDC-082,beef:muscle,beef,dry-cured beef strips,T1 smoked + spices vs T2 unsmoked + unspiced,SRC-BEEF-CURE-SMOKE-001,Phenols,"2,5-Dimethylphenol",,2079,MS,,,partial_ms_only_no_numeric_match_factor,22.93,,3.51,-,yes,no,smoke/spice-associated phenol layer,ng/g dry matter,T1 combines smoking and spices; compound attribution to smoke alone is not assumed even though source PCA identifies phenols as smoke derivatives.
BDC-083,beef:muscle,beef,dry-cured beef strips,T1 smoked + spices vs T2 unsmoked + unspiced,SRC-BEEF-CURE-SMOKE-001,Phenols,4-Methylphenol,,2085,MS,,,partial_ms_only_no_numeric_match_factor,123.81,,15.49,-,yes,no,smoke/spice-associated phenol layer,ng/g dry matter,T1 combines smoking and spices; compound attribution to smoke alone is not assumed even though source PCA identifies phenols as smoke derivatives.
BDC-084,beef:muscle,beef,dry-cured beef strips,T1 smoked + spices vs T2 unsmoked + unspiced,SRC-BEEF-CURE-SMOKE-001,Phenols,3-Methylphenol,,2093,MS,,,partial_ms_only_no_numeric_match_factor,98.79,,13.58,-,yes,no,smoke/spice-associated phenol layer,ng/g dry matter,T1 combines smoking and spices; compound attribution to smoke alone is not assumed even though source PCA identifies phenols as smoke derivatives.
BDC-085,beef:muscle,beef,dry-cured beef strips,T1 smoked + spices vs T2 unsmoked + unspiced,SRC-BEEF-CURE-SMOKE-001,Phenols,3-Ethylphenol,,2180,MS,,,partial_ms_only_no_numeric_match_factor,25.15,,2.53,-,yes,no,smoke/spice-associated phenol layer,ng/g dry matter,T1 combines smoking and spices; compound attribution to smoke alone is not assumed even though source PCA identifies phenols as smoke derivatives.
BDC-086,beef:muscle,beef,dry-cured beef strips,T1 smoked + spices vs T2 unsmoked + unspiced,SRC-BEEF-CURE-SMOKE-001,Phenols,"2,6-Dimethoxyphenol",,2272,MS,,,partial_ms_only_no_numeric_match_factor,25.89,,3.2,-,yes,no,smoke/spice-associated phenol layer,ng/g dry matter,T1 combines smoking and spices; compound attribution to smoke alone is not assumed even though source PCA identifies phenols as smoke derivatives.
