profile_record_id,protein,family_id,preparation_state,cut_or_part,compound_name,cas,compound_group,evidence_mode,sensory_validation_mode,direct_source_state,importance_class,importance_detail,concentration,concentration_unit,sensory_metric_type,sensory_metric_value,odor_descriptor,source_id,source_url,source_context_confounded,promotion_status,notes,product_id,material_scope,mr13_product_status
BP-021,beef,family:beef,raw,Longissimus dorsi; marbling A1,1-pentanol,71-41-0,Alcohols,measured,OAV_gt_1,raw,aroma_active_raw_marbling,OAV ≥ 1 in A1 and A5 raw-beef groups.,29.84,µg/kg,OAV,34.7,,SRC-BEEF-RAW-MARBLING-001,https://www.frontiersin.org/journals/veterinary-science/articles/10.3389/fvets.2025.1501177/full,no,eligible_raw_marbling_v12,"Use for abundance/OAV weighting, not as a separate breed profile.",beef:muscle,Longissimus dorsi; marbling A1,active_beef_muscle
BP-022,beef,family:beef,raw,Longissimus dorsi; marbling A5,1-pentanol,71-41-0,Alcohols,measured,OAV_gt_1,raw,aroma_active_raw_marbling,OAV ≥ 1 in A1 and A5 raw-beef groups.,16.33,µg/kg,OAV,18.99,,SRC-BEEF-RAW-MARBLING-001,https://www.frontiersin.org/journals/veterinary-science/articles/10.3389/fvets.2025.1501177/full,no,eligible_raw_marbling_v12,"Use for abundance/OAV weighting, not as a separate breed profile.",beef:muscle,Longissimus dorsi; marbling A5,active_beef_muscle
BP-023,beef,family:beef,raw,Longissimus dorsi; marbling A1,methyl hexanoate,106-70-7,Esters,measured,OAV_gt_1,raw,aroma_active_raw_marbling,OAV ≥ 1 in A1 and A5 raw-beef groups.,61.35,µg/kg,OAV,2.27,,SRC-BEEF-RAW-MARBLING-001,https://www.frontiersin.org/journals/veterinary-science/articles/10.3389/fvets.2025.1501177/full,no,eligible_raw_marbling_v12,"Use for abundance/OAV weighting, not as a separate breed profile.",beef:muscle,Longissimus dorsi; marbling A1,active_beef_muscle
BP-024,beef,family:beef,raw,Longissimus dorsi; marbling A5,methyl hexanoate,106-70-7,Esters,measured,OAV_gt_1,raw,aroma_active_raw_marbling,OAV ≥ 1 in A1 and A5 raw-beef groups.,97.57,µg/kg,OAV,3.61,,SRC-BEEF-RAW-MARBLING-001,https://www.frontiersin.org/journals/veterinary-science/articles/10.3389/fvets.2025.1501177/full,no,eligible_raw_marbling_v12,"Use for abundance/OAV weighting, not as a separate breed profile.",beef:muscle,Longissimus dorsi; marbling A5,active_beef_muscle
BP-025,beef,family:beef,roasted,Qinchuan hind-leg lean; 250°C oven; 6 min,1-heptanol,111-70-6,Alcohols,measured,OAV_gt_1,roasted_6min,aroma_active_high_heat,One of eight 6-min roast odorants with OAV > 1.,14.02,µg/kg,OAV,,,SRC-BEEF-ROAST-001,https://www.frontiersin.org/journals/nutrition/articles/10.3389/fnut.2022.978622/full,no,eligible_roast_core_v12,Exact OAV retained only where available in extracted primary table; blank values are not inferred.,beef:muscle,Qinchuan hind-leg lean; 250°C oven; 6 min,active_beef_muscle
BP-026,beef,family:beef,roasted,Qinchuan hind-leg lean; 250°C oven; 6 min,1-octen-3-ol,3391-86-4,Alcohols,measured,OAV_gt_1,roasted_6min,aroma_active_high_heat,One of eight 6-min roast odorants with OAV > 1.,279.37,µg/kg,OAV,,,SRC-BEEF-ROAST-001,https://www.frontiersin.org/journals/nutrition/articles/10.3389/fnut.2022.978622/full,no,eligible_roast_core_v12,Exact OAV retained only where available in extracted primary table; blank values are not inferred.,beef:muscle,Qinchuan hind-leg lean; 250°C oven; 6 min,active_beef_muscle
BP-027,beef,family:beef,roasted,Qinchuan hind-leg lean; 250°C oven; 6 min,hexanal,66-25-1,"Carbonyls, aldehydes",measured,OAV_gt_1,roasted_6min,aroma_active_high_heat,One of eight 6-min roast odorants with OAV > 1.,811.42,µg/kg,OAV,16.23,,SRC-BEEF-ROAST-001,https://www.frontiersin.org/journals/nutrition/articles/10.3389/fnut.2022.978622/full,no,eligible_roast_core_v12,Exact OAV retained only where available in extracted primary table; blank values are not inferred.,beef:muscle,Qinchuan hind-leg lean; 250°C oven; 6 min,active_beef_muscle
BP-028,beef,family:beef,roasted,Qinchuan hind-leg lean; 250°C oven; 6 min,octanal,124-13-0,"Carbonyls, aldehydes",measured,OAV_gt_1,roasted_6min,aroma_active_high_heat,One of eight 6-min roast odorants with OAV > 1.,70.46,µg/kg,OAV,100.66,,SRC-BEEF-ROAST-001,https://www.frontiersin.org/journals/nutrition/articles/10.3389/fnut.2022.978622/full,no,eligible_roast_core_v12,Exact OAV retained only where available in extracted primary table; blank values are not inferred.,beef:muscle,Qinchuan hind-leg lean; 250°C oven; 6 min,active_beef_muscle
BP-029,beef,family:beef,roasted,Qinchuan hind-leg lean; 250°C oven; 6 min,(E)-2-octenal,2548-87-0,"Carbonyls, aldehydes",measured,OAV_gt_1,roasted_6min,aroma_active_high_heat,One of eight 6-min roast odorants with OAV > 1.,3.95,µg/kg,OAV,,,SRC-BEEF-ROAST-001,https://www.frontiersin.org/journals/nutrition/articles/10.3389/fnut.2022.978622/full,no,eligible_roast_core_v12,Exact OAV retained only where available in extracted primary table; blank values are not inferred.,beef:muscle,Qinchuan hind-leg lean; 250°C oven; 6 min,active_beef_muscle
BP-030,beef,family:beef,roasted,Qinchuan hind-leg lean; 250°C oven; 6 min,nonanal,124-19-6,"Carbonyls, aldehydes",measured,OAV_gt_1,roasted_6min,aroma_active_high_heat,One of eight 6-min roast odorants with OAV > 1.,179.55,µg/kg,OAV,179.55,,SRC-BEEF-ROAST-001,https://www.frontiersin.org/journals/nutrition/articles/10.3389/fnut.2022.978622/full,no,eligible_roast_core_v12,Exact OAV retained only where available in extracted primary table; blank values are not inferred.,beef:muscle,Qinchuan hind-leg lean; 250°C oven; 6 min,active_beef_muscle
BP-031,beef,family:beef,roasted,Qinchuan hind-leg lean; 250°C oven; 6 min,"(E,E)-2,4-decadienal",25152-84-5,"Carbonyls, aldehydes",measured,OAV_gt_1,roasted_6min,aroma_active_high_heat,One of eight 6-min roast odorants with OAV > 1.,4.35,µg/kg,OAV,,,SRC-BEEF-ROAST-001,https://www.frontiersin.org/journals/nutrition/articles/10.3389/fnut.2022.978622/full,no,eligible_roast_core_v12,Exact OAV retained only where available in extracted primary table; blank values are not inferred.,beef:muscle,Qinchuan hind-leg lean; 250°C oven; 6 min,active_beef_muscle
BP-032,beef,family:beef,roasted,Qinchuan hind-leg lean; 250°C oven; 6 min,2-pentylfuran,3777-69-3,Furans,measured,OAV_gt_1,roasted_6min,aroma_active_high_heat,One of eight 6-min roast odorants with OAV > 1.,40.29,µg/kg,OAV,6.72,,SRC-BEEF-ROAST-001,https://www.frontiersin.org/journals/nutrition/articles/10.3389/fnut.2022.978622/full,no,eligible_roast_core_v12,Exact OAV retained only where available in extracted primary table; blank values are not inferred.,beef:muscle,Qinchuan hind-leg lean; 250°C oven; 6 min,active_beef_muscle
BP-033,beef,family:beef,braised / moist-cooked,Simmental chuck; visible fat removed; water + 1.2% salt only,hexanal,66-25-1,"Carbonyls, aldehydes",measured,GC-O + AEDA,fresh_cooked_stew,aroma_active_moist_heat,Fresh-cooked baseline aroma-active odorant in the stewed-beef source.,,,FD_factor,4.0,,SRC-BEEF-STEW-001,https://pmc.ncbi.nlm.nih.gov/articles/PMC11338155/,no,eligible_moist_heat_partial_v12,"Uses only the fresh-cooked baseline from a cooking-refrigeration-reheating study. No onion, wine, stock, herbs, or spices were added.",beef:muscle,Simmental chuck; visible fat removed; water + 1.2% salt only,active_beef_muscle
BP-034,beef,family:beef,braised / moist-cooked,Simmental chuck; visible fat removed; water + 1.2% salt only,heptanal,111-71-7,"Carbonyls, aldehydes",measured,GC-O + AEDA,fresh_cooked_stew,aroma_active_moist_heat,Fresh-cooked baseline aroma-active odorant in the stewed-beef source.,,,FD_factor,4.0,,SRC-BEEF-STEW-001,https://pmc.ncbi.nlm.nih.gov/articles/PMC11338155/,no,eligible_moist_heat_partial_v12,"Uses only the fresh-cooked baseline from a cooking-refrigeration-reheating study. No onion, wine, stock, herbs, or spices were added.",beef:muscle,Simmental chuck; visible fat removed; water + 1.2% salt only,active_beef_muscle
BP-035,beef,family:beef,braised / moist-cooked,Simmental chuck; visible fat removed; water + 1.2% salt only,2-pentylfuran,3777-69-3,Furans,measured,GC-O + AEDA,fresh_cooked_stew,aroma_active_moist_heat,Fresh-cooked baseline aroma-active odorant in the stewed-beef source.,,,FD_factor,1.0,,SRC-BEEF-STEW-001,https://pmc.ncbi.nlm.nih.gov/articles/PMC11338155/,no,eligible_moist_heat_partial_v12,"Uses only the fresh-cooked baseline from a cooking-refrigeration-reheating study. No onion, wine, stock, herbs, or spices were added.",beef:muscle,Simmental chuck; visible fat removed; water + 1.2% salt only,active_beef_muscle
BP-036,beef,family:beef,braised / moist-cooked,Simmental chuck; visible fat removed; water + 1.2% salt only,1-pentanol,71-41-0,Alcohols,measured,GC-O + AEDA,fresh_cooked_stew,aroma_active_moist_heat,Fresh-cooked baseline aroma-active odorant in the stewed-beef source.,,,FD_factor,1.0,,SRC-BEEF-STEW-001,https://pmc.ncbi.nlm.nih.gov/articles/PMC11338155/,no,eligible_moist_heat_partial_v12,"Uses only the fresh-cooked baseline from a cooking-refrigeration-reheating study. No onion, wine, stock, herbs, or spices were added.",beef:muscle,Simmental chuck; visible fat removed; water + 1.2% salt only,active_beef_muscle
BP-037,beef,family:beef,braised / moist-cooked,Simmental chuck; visible fat removed; water + 1.2% salt only,octanal,124-13-0,"Carbonyls, aldehydes",measured,GC-O + AEDA,fresh_cooked_stew,aroma_active_moist_heat,Fresh-cooked baseline aroma-active odorant in the stewed-beef source.,,,FD_factor,16.0,,SRC-BEEF-STEW-001,https://pmc.ncbi.nlm.nih.gov/articles/PMC11338155/,no,eligible_moist_heat_partial_v12,"Uses only the fresh-cooked baseline from a cooking-refrigeration-reheating study. No onion, wine, stock, herbs, or spices were added.",beef:muscle,Simmental chuck; visible fat removed; water + 1.2% salt only,active_beef_muscle
BP-038,beef,family:beef,braised / moist-cooked,Simmental chuck; visible fat removed; water + 1.2% salt only,1-octen-3-one,4312-99-6,"Carbonyls, ketones",measured,GC-O + AEDA,fresh_cooked_stew,aroma_active_moist_heat,Fresh-cooked baseline aroma-active odorant in the stewed-beef source.,,,FD_factor,2.0,,SRC-BEEF-STEW-001,https://pmc.ncbi.nlm.nih.gov/articles/PMC11338155/,no,eligible_moist_heat_partial_v12,"Uses only the fresh-cooked baseline from a cooking-refrigeration-reheating study. No onion, wine, stock, herbs, or spices were added.",beef:muscle,Simmental chuck; visible fat removed; water + 1.2% salt only,active_beef_muscle
BP-039,beef,family:beef,braised / moist-cooked,Simmental chuck; visible fat removed; water + 1.2% salt only,1-hexanol,111-27-3,Alcohols,measured,GC-O + AEDA,fresh_cooked_stew,aroma_active_moist_heat,Fresh-cooked baseline aroma-active odorant in the stewed-beef source.,,,FD_factor,4.0,,SRC-BEEF-STEW-001,https://pmc.ncbi.nlm.nih.gov/articles/PMC11338155/,no,eligible_moist_heat_partial_v12,"Uses only the fresh-cooked baseline from a cooking-refrigeration-reheating study. No onion, wine, stock, herbs, or spices were added.",beef:muscle,Simmental chuck; visible fat removed; water + 1.2% salt only,active_beef_muscle
BP-040,beef,family:beef,braised / moist-cooked,Simmental chuck; visible fat removed; water + 1.2% salt only,nonanal,124-19-6,"Carbonyls, aldehydes",measured,GC-O + AEDA,fresh_cooked_stew,aroma_active_moist_heat,Fresh-cooked baseline aroma-active odorant in the stewed-beef source.,,,FD_factor,32.0,,SRC-BEEF-STEW-001,https://pmc.ncbi.nlm.nih.gov/articles/PMC11338155/,no,eligible_moist_heat_partial_v12,"Uses only the fresh-cooked baseline from a cooking-refrigeration-reheating study. No onion, wine, stock, herbs, or spices were added.",beef:muscle,Simmental chuck; visible fat removed; water + 1.2% salt only,active_beef_muscle
BP-041,beef,family:beef,braised / moist-cooked,Simmental chuck; visible fat removed; water + 1.2% salt only,(E)-2-octenal,2548-87-0,"Carbonyls, aldehydes",measured,GC-O + AEDA,fresh_cooked_stew,aroma_active_moist_heat,Fresh-cooked baseline aroma-active odorant in the stewed-beef source.,,,FD_factor,8.0,,SRC-BEEF-STEW-001,https://pmc.ncbi.nlm.nih.gov/articles/PMC11338155/,no,eligible_moist_heat_partial_v12,"Uses only the fresh-cooked baseline from a cooking-refrigeration-reheating study. No onion, wine, stock, herbs, or spices were added.",beef:muscle,Simmental chuck; visible fat removed; water + 1.2% salt only,active_beef_muscle
BP-042,beef,family:beef,braised / moist-cooked,Simmental chuck; visible fat removed; water + 1.2% salt only,1-octen-3-ol,3391-86-4,Alcohols,measured,GC-O + AEDA,fresh_cooked_stew,aroma_active_moist_heat,Fresh-cooked baseline aroma-active odorant in the stewed-beef source.,,,FD_factor,16.0,,SRC-BEEF-STEW-001,https://pmc.ncbi.nlm.nih.gov/articles/PMC11338155/,no,eligible_moist_heat_partial_v12,"Uses only the fresh-cooked baseline from a cooking-refrigeration-reheating study. No onion, wine, stock, herbs, or spices were added.",beef:muscle,Simmental chuck; visible fat removed; water + 1.2% salt only,active_beef_muscle
BP-043,beef,family:beef,braised / moist-cooked,Simmental chuck; visible fat removed; water + 1.2% salt only,methional,3268-49-3,Sulfur compounds,measured,GC-O + AEDA,fresh_cooked_stew,aroma_active_moist_heat,Fresh-cooked baseline aroma-active odorant in the stewed-beef source.,,,FD_factor,2.0,,SRC-BEEF-STEW-001,https://pmc.ncbi.nlm.nih.gov/articles/PMC11338155/,no,eligible_moist_heat_partial_v12,"Uses only the fresh-cooked baseline from a cooking-refrigeration-reheating study. No onion, wine, stock, herbs, or spices were added.",beef:muscle,Simmental chuck; visible fat removed; water + 1.2% salt only,active_beef_muscle
BP-044,beef,family:beef,braised / moist-cooked,Simmental chuck; visible fat removed; water + 1.2% salt only,decanal,112-31-2,"Carbonyls, aldehydes",measured,GC-O + AEDA,fresh_cooked_stew,aroma_active_moist_heat,Fresh-cooked baseline aroma-active odorant in the stewed-beef source.,,,FD_factor,2.0,,SRC-BEEF-STEW-001,https://pmc.ncbi.nlm.nih.gov/articles/PMC11338155/,no,eligible_moist_heat_partial_v12,"Uses only the fresh-cooked baseline from a cooking-refrigeration-reheating study. No onion, wine, stock, herbs, or spices were added.",beef:muscle,Simmental chuck; visible fat removed; water + 1.2% salt only,active_beef_muscle
BP-045,beef,family:beef,braised / moist-cooked,Simmental chuck; visible fat removed; water + 1.2% salt only,(E)-2-decenal,3913-81-3,"Carbonyls, aldehydes",measured,GC-O + AEDA,fresh_cooked_stew,aroma_active_moist_heat,Fresh-cooked baseline aroma-active odorant in the stewed-beef source.,,,FD_factor,8.0,,SRC-BEEF-STEW-001,https://pmc.ncbi.nlm.nih.gov/articles/PMC11338155/,no,eligible_moist_heat_partial_v12,"Uses only the fresh-cooked baseline from a cooking-refrigeration-reheating study. No onion, wine, stock, herbs, or spices were added.",beef:muscle,Simmental chuck; visible fat removed; water + 1.2% salt only,active_beef_muscle
BP-046,beef,family:beef,braised / moist-cooked,Simmental chuck; visible fat removed; water + 1.2% salt only,"(E,E)-2,4-nonadienal",5910-87-2,"Carbonyls, aldehydes",measured,GC-O + AEDA,fresh_cooked_stew,aroma_active_moist_heat,Fresh-cooked baseline aroma-active odorant in the stewed-beef source.,,,FD_factor,4.0,,SRC-BEEF-STEW-001,https://pmc.ncbi.nlm.nih.gov/articles/PMC11338155/,no,eligible_moist_heat_partial_v12,"Uses only the fresh-cooked baseline from a cooking-refrigeration-reheating study. No onion, wine, stock, herbs, or spices were added.",beef:muscle,Simmental chuck; visible fat removed; water + 1.2% salt only,active_beef_muscle
BP-047,beef,family:beef,braised / moist-cooked,Simmental chuck; visible fat removed; water + 1.2% salt only,2-acetyl-2-thiazoline,29926-41-8,"Heterocycles, thiazolines",measured,GC-O + AEDA,fresh_cooked_stew,aroma_active_moist_heat,Fresh-cooked baseline aroma-active odorant in the stewed-beef source.,,,FD_factor,4.0,,SRC-BEEF-STEW-001,https://pmc.ncbi.nlm.nih.gov/articles/PMC11338155/,no,eligible_moist_heat_partial_v12,"Uses only the fresh-cooked baseline from a cooking-refrigeration-reheating study. No onion, wine, stock, herbs, or spices were added.",beef:muscle,Simmental chuck; visible fat removed; water + 1.2% salt only,active_beef_muscle
BP-048,beef,family:beef,braised / moist-cooked,Simmental chuck; visible fat removed; water + 1.2% salt only,"(E,E)-2,4-decadienal",25152-84-5,"Carbonyls, aldehydes",measured,GC-O + AEDA,fresh_cooked_stew,aroma_active_moist_heat,Fresh-cooked baseline aroma-active odorant in the stewed-beef source.,,,FD_factor,4.0,,SRC-BEEF-STEW-001,https://pmc.ncbi.nlm.nih.gov/articles/PMC11338155/,no,eligible_moist_heat_partial_v12,"Uses only the fresh-cooked baseline from a cooking-refrigeration-reheating study. No onion, wine, stock, herbs, or spices were added.",beef:muscle,Simmental chuck; visible fat removed; water + 1.2% salt only,active_beef_muscle
BP-049,beef,family:beef,dry-aged,traditional dry-aged comparator,3-methylbutanal,590-86-3,"Carbonyls, aldehydes",measured,none,dry-aged,dry_age_state_marker,Reported among volatiles associated with traditional dry aging.,,,,,,SRC-BEEF-AGE-CONTROL-001,https://pmc.ncbi.nlm.nih.gov/articles/PMC9689929/,study_contains_other_coating_treatments,dry_age_delta_only,Use only traditional-control comparison for endogenous beef interpretation.,beef:muscle,traditional dry-aged comparator,active_beef_muscle
