detected_record_id,product_id,protein,anatomical_material,preparation_state,source_id,source_compound_group,normalized_compound_group,compound_name,cas,ri_observed_db_wax,identification_method,authentic_standard_confirmed,numeric_match_factor,source_match_quality_floor_pct,mr09_identification_status,pentane_source_value,pentane_mean_pct,ethyl_ether_source_value,ethyl_ether_mean_pct,dcm_source_value,dcm_mean_pct,methanol_source_value,methanol_mean_pct,quantified_in_any_solvent,metric,notes
BDF-012,beef:fat,beef,abdominal subcutaneous fat,dry-rendered at 130±5°C for 20 min,SRC-BEEF-FAT-001,Aldehydes,Aldehydes,Benzaldehyde,,1486,RI/MS/S,yes,,,partial_no_numeric_match_factor_standard_confirmed,0.90±0.23a,0.9,0.52±0.13b,0.52,0.50±0.13b,0.5,-,,yes,relative peak area (%) by SAFE extraction solvent,
BDF-013,beef:fat,beef,abdominal subcutaneous fat,dry-rendered at 130±5°C for 20 min,SRC-BEEF-FAT-001,Aldehydes,Aldehydes,"(E,E)-2,6-Nonadienal",,1595,RI/MS/S,yes,,,partial_no_numeric_match_factor_standard_confirmed,0.48±0.12a,0.48,0.26±0.06b,0.26,0.60±0.16a,0.6,-,,yes,relative peak area (%) by SAFE extraction solvent,
BDF-014,beef:fat,beef,abdominal subcutaneous fat,dry-rendered at 130±5°C for 20 min,SRC-BEEF-FAT-001,Aldehydes,Aldehydes,(E)-2-Decenal,,1632,RI/MS/S,yes,,,partial_no_numeric_match_factor_standard_confirmed,1.09±0.28c,1.09,5.39±1.31a,5.39,0.98±0.26b,0.98,-,,yes,relative peak area (%) by SAFE extraction solvent,
BDF-015,beef:fat,beef,abdominal subcutaneous fat,dry-rendered at 130±5°C for 20 min,SRC-BEEF-FAT-001,Aldehydes,Aldehydes,"(E,E)-2,4-Nonadienal",,1664,RI/MS/S,yes,,,partial_no_numeric_match_factor_standard_confirmed,1.41±0.37a,1.41,0.26±0.06b,0.26,1.29±0.34a,1.29,-,,yes,relative peak area (%) by SAFE extraction solvent,
BDF-016,beef:fat,beef,abdominal subcutaneous fat,dry-rendered at 130±5°C for 20 min,SRC-BEEF-FAT-001,Aldehydes,Aldehydes,Decanal,,1680,RI/MS/S,yes,,,partial_no_numeric_match_factor_standard_confirmed,2.38±0.62a,2.38,0.39±0.09c,0.39,1.05±0.28b,1.05,-,,yes,relative peak area (%) by SAFE extraction solvent,
BDF-017,beef:fat,beef,abdominal subcutaneous fat,dry-rendered at 130±5°C for 20 min,SRC-BEEF-FAT-001,Aldehydes,Aldehydes,(E)-2-Undecenal,,1717,RI/MS,no,,,partial_no_numeric_match_factor,2.60±0.68b,2.6,4.19±1.02a,4.19,2.64±0.70b,2.64,-,,yes,relative peak area (%) by SAFE extraction solvent,
BDF-018,beef:fat,beef,abdominal subcutaneous fat,dry-rendered at 130±5°C for 20 min,SRC-BEEF-FAT-001,Aldehydes,Aldehydes,Dodecanal,,1729,RI/MS,no,,,partial_no_numeric_match_factor,0.07±0.02a,0.07,0.05±0.01a,0.05,0.08±0.02a,0.08,-,,yes,relative peak area (%) by SAFE extraction solvent,
BDF-019,beef:fat,beef,abdominal subcutaneous fat,dry-rendered at 130±5°C for 20 min,SRC-BEEF-FAT-001,Aldehydes,Aldehydes,"(E,E)-2,4-Decadienal",,1774,RI/MS/S,yes,,,partial_no_numeric_match_factor_standard_confirmed,2.30±0.60b,2.3,2.39±0.58b,2.39,3.52±0.23a,3.52,-,,yes,relative peak area (%) by SAFE extraction solvent,
BDF-020,beef:fat,beef,abdominal subcutaneous fat,dry-rendered at 130±5°C for 20 min,SRC-BEEF-FAT-001,Alcohols,Alcohols,3-Hexanol,,1211,RI/MS,no,,,partial_no_numeric_match_factor,-,,-,,-,,4.18±0.55,4.18,yes,relative peak area (%) by SAFE extraction solvent,
BDF-021,beef:fat,beef,abdominal subcutaneous fat,dry-rendered at 130±5°C for 20 min,SRC-BEEF-FAT-001,Alcohols,Alcohols,2-Pentanol,,1237,RI/MS/S,yes,,,partial_no_numeric_match_factor_standard_confirmed,0.51±0.13b,0.51,0.30±0.07c,0.3,0.78±0.21a,0.78,-,,yes,relative peak area (%) by SAFE extraction solvent,
BDF-022,beef:fat,beef,abdominal subcutaneous fat,dry-rendered at 130±5°C for 20 min,SRC-BEEF-FAT-001,Alcohols,Alcohols,2-Octanol,,1411,RI/MS,no,,,partial_no_numeric_match_factor,0.50±0.16a,0.5,0.01±0.00b,0.01,0.58±0.16a,0.58,-,,yes,relative peak area (%) by SAFE extraction solvent,
BDF-023,beef:fat,beef,abdominal subcutaneous fat,dry-rendered at 130±5°C for 20 min,SRC-BEEF-FAT-001,Alcohols,Alcohols,1-Octen-3-ol,,1423,RI/MS/S,yes,,,partial_no_numeric_match_factor_standard_confirmed,3.65±1.18a,3.65,0.69±0.16c,0.69,2.70±0.74b,2.7,-,,yes,relative peak area (%) by SAFE extraction solvent,
BDF-024,beef:fat,beef,abdominal subcutaneous fat,dry-rendered at 130±5°C for 20 min,SRC-BEEF-FAT-001,Alcohols,Alcohols,1-Heptanol,,1437,RI/MS/S,yes,,,partial_no_numeric_match_factor_standard_confirmed,2.18±0.70a,2.18,1.10±0.26b,1.1,1.63±0.45a,1.63,-,,yes,relative peak area (%) by SAFE extraction solvent,
BDF-025,beef:fat,beef,abdominal subcutaneous fat,dry-rendered at 130±5°C for 20 min,SRC-BEEF-FAT-001,Alcohols,Alcohols,1-Hexanol,,1454,RI/MS/S,yes,,,partial_no_numeric_match_factor_standard_confirmed,0.53±0.17b,0.53,0.30±0.07b,0.3,0.84±0.23a,0.84,-,,yes,relative peak area (%) by SAFE extraction solvent,
BDF-026,beef:fat,beef,abdominal subcutaneous fat,dry-rendered at 130±5°C for 20 min,SRC-BEEF-FAT-001,Alcohols,Alcohols,Octanol,,1538,RI/MS/S,yes,,,partial_no_numeric_match_factor_standard_confirmed,3.17±1.03a,3.17,3.32±0.78a,3.32,3.49±0.95a,3.49,-,,yes,relative peak area (%) by SAFE extraction solvent,
BDF-027,beef:fat,beef,abdominal subcutaneous fat,dry-rendered at 130±5°C for 20 min,SRC-BEEF-FAT-001,Alcohols,Alcohols,"2,3-Butanediol",,1581,RI/MS/S,yes,,,partial_no_numeric_match_factor_standard_confirmed,2.71±0.88a,2.71,0.50±0.12b,0.5,1.68±0.46a,1.68,1.76±0.52a,1.76,yes,relative peak area (%) by SAFE extraction solvent,
BDF-028,beef:fat,beef,abdominal subcutaneous fat,dry-rendered at 130±5°C for 20 min,SRC-BEEF-FAT-001,Alcohols,Alcohols,"1,2-Propanediol",,1600,RI/MS,no,,,partial_no_numeric_match_factor,0.17±0.05a,0.17,0.20±0.05b,0.2,0.26±0.07b,0.26,1.07±0.10a,1.07,yes,relative peak area (%) by SAFE extraction solvent,
BDF-029,beef:fat,beef,abdominal subcutaneous fat,dry-rendered at 130±5°C for 20 min,SRC-BEEF-FAT-001,Alcohols,Alcohols,(E)-2-Octen-1-ol,,1642,RI/MS/S,yes,,,partial_no_numeric_match_factor_standard_confirmed,0.26±0.08a,0.26,0.01±0.00b,0.01,0.40±0.11a,0.4,-,,yes,relative peak area (%) by SAFE extraction solvent,
BDF-030,beef:fat,beef,abdominal subcutaneous fat,dry-rendered at 130±5°C for 20 min,SRC-BEEF-FAT-001,Alcohols,Alcohols,1-Nonanol,,1673,RI/MS,no,,,partial_no_numeric_match_factor,0.25±0.08a,0.25,0.02±0.00b,0.02,-,,-,,yes,relative peak area (%) by SAFE extraction solvent,
BDF-031,beef:fat,beef,abdominal subcutaneous fat,dry-rendered at 130±5°C for 20 min,SRC-BEEF-FAT-001,Alcohols,Alcohols,Phenylethyl alcohol,,1843,RI/MS/S,yes,,,partial_no_numeric_match_factor_standard_confirmed,0.47±0.15a,0.47,0.30±0.07b,0.3,0.49±0.13a,0.49,-,,yes,relative peak area (%) by SAFE extraction solvent,
BDF-032,beef:fat,beef,abdominal subcutaneous fat,dry-rendered at 130±5°C for 20 min,SRC-BEEF-FAT-001,Alcohols,Alcohols,1-Undecanol,,1879,RI/MS/S,yes,,,partial_no_numeric_match_factor_standard_confirmed,0.07±0.02b,0.07,0.07±0.02b,0.07,0.23±0.06a,0.23,-,,yes,relative peak area (%) by SAFE extraction solvent,
BDF-033,beef:fat,beef,abdominal subcutaneous fat,dry-rendered at 130±5°C for 20 min,SRC-BEEF-FAT-001,Alcohols,Alcohols,1-Dodecanol,,1964,RI/MS/S,yes,,,partial_no_numeric_match_factor_standard_confirmed,0.21±0.07a,0.21,0.04±0.01b,0.04,0.05±0.01b,0.05,-,,yes,relative peak area (%) by SAFE extraction solvent,
BDF-034,beef:fat,beef,abdominal subcutaneous fat,dry-rendered at 130±5°C for 20 min,SRC-BEEF-FAT-001,Alcohols,Alcohols,"1,4-Pentadiol",,2054,RI/MS/S,yes,,,partial_no_numeric_match_factor_standard_confirmed,0.04±0.01a,0.04,0.03±0.01a,0.03,0.05±0.01a,0.05,-,,yes,relative peak area (%) by SAFE extraction solvent,
BDF-035,beef:fat,beef,abdominal subcutaneous fat,dry-rendered at 130±5°C for 20 min,SRC-BEEF-FAT-001,Alcohols,Alcohols,2-Hexyl-1-dodecanol,,2150,RI/MS,no,,,partial_no_numeric_match_factor,0.07±0.01c,0.07,0.88±0.24a,0.88,0.40±0.15b,0.4,-,,yes,relative peak area (%) by SAFE extraction solvent,
BDF-036,beef:fat,beef,abdominal subcutaneous fat,dry-rendered at 130±5°C for 20 min,SRC-BEEF-FAT-001,Ketones,Ketones,1-Octanone,,1197,RI/MS,no,,,partial_no_numeric_match_factor,0.14±0.03a,0.14,0.16±0.04a,0.16,0.04±0.01b,0.04,-,,yes,relative peak area (%) by SAFE extraction solvent,
BDF-037,beef:fat,beef,abdominal subcutaneous fat,dry-rendered at 130±5°C for 20 min,SRC-BEEF-FAT-001,Ketones,Ketones,Acetoin,,1262,RI/MS,no,,,partial_no_numeric_match_factor,3.12±0.63a,3.12,2.60±0.70a,2.6,3.11±1.14a,3.11,-,,yes,relative peak area (%) by SAFE extraction solvent,
BDF-038,beef:fat,beef,abdominal subcutaneous fat,dry-rendered at 130±5°C for 20 min,SRC-BEEF-FAT-001,Ketones,Ketones,"2,3-Octanedione",,1307,RI/MS,no,,,partial_no_numeric_match_factor,2.53±0.52a,2.53,1.88±0.51b,1.88,1.68±0.62b,1.68,-,,yes,relative peak area (%) by SAFE extraction solvent,
BDF-039,beef:fat,beef,abdominal subcutaneous fat,dry-rendered at 130±5°C for 20 min,SRC-BEEF-FAT-001,Ketones,Ketones,2-Decanone,,1494,RI/MS,no,,,partial_no_numeric_match_factor,0.32±0.07b,0.32,0.53±0.14a,0.53,0.49±0.18a,0.49,-,,yes,relative peak area (%) by SAFE extraction solvent,
BDF-040,beef:fat,beef,abdominal subcutaneous fat,dry-rendered at 130±5°C for 20 min,SRC-BEEF-FAT-001,Ketones,Ketones,2-Undecanone,,1599,RI/MS/S,yes,,,partial_no_numeric_match_factor_standard_confirmed,0.80±0.16a,0.8,0.30±0.08b,0.3,0.42±0.15b,0.42,-,,yes,relative peak area (%) by SAFE extraction solvent,
BDF-041,beef:fat,beef,abdominal subcutaneous fat,dry-rendered at 130±5°C for 20 min,SRC-BEEF-FAT-001,Ketones,Ketones,2-Dodecanone,,1709,RI/MS,no,,,partial_no_numeric_match_factor,0.12±0.02a,0.12,0.03±0.01b,0.03,0.12±0.05a,0.12,-,,yes,relative peak area (%) by SAFE extraction solvent,
BDF-042,beef:fat,beef,abdominal subcutaneous fat,dry-rendered at 130±5°C for 20 min,SRC-BEEF-FAT-001,Ketones,Ketones,2-Tridecanone,,1816,RI/MS,no,,,partial_no_numeric_match_factor,0.15±0.03a,0.15,0.07±0.02b,0.07,0.09±0.03b,0.09,-,,yes,relative peak area (%) by SAFE extraction solvent,
BDF-043,beef:fat,beef,abdominal subcutaneous fat,dry-rendered at 130±5°C for 20 min,SRC-BEEF-FAT-001,Ketones,Ketones,2-Tetradecenone,,1914,RI/MS/S,yes,,,partial_no_numeric_match_factor_standard_confirmed,0.36±0.07a,0.36,0.05±0.01b,0.05,0.08±0.03b,0.08,-,,yes,relative peak area (%) by SAFE extraction solvent,
BDF-044,beef:fat,beef,abdominal subcutaneous fat,dry-rendered at 130±5°C for 20 min,SRC-BEEF-FAT-001,Ketones,Ketones,2-Heptadecanone,,2195,RI/MS/S,yes,,,partial_no_numeric_match_factor_standard_confirmed,0.34±0.07c,0.34,0.80±0.22a,0.8,0.54±0.20b,0.54,-,,yes,relative peak area (%) by SAFE extraction solvent,
BDF-045,beef:fat,beef,abdominal subcutaneous fat,dry-rendered at 130±5°C for 20 min,SRC-BEEF-FAT-001,Acids,Acids,Acetic acid,,1429,RI/MS/S,yes,,,partial_no_numeric_match_factor_standard_confirmed,8.40±1.71b,8.4,5.70±1.54c,5.7,8.27±3.03b,8.27,70.01±21a,70.01,yes,relative peak area (%) by SAFE extraction solvent,
BDF-046,beef:fat,beef,abdominal subcutaneous fat,dry-rendered at 130±5°C for 20 min,SRC-BEEF-FAT-001,Acids,Acids,Propionic acid,,1508,RI/MS/S,yes,,,partial_no_numeric_match_factor_standard_confirmed,1.37±0.28b,1.37,0.13±0.03c,0.13,1.26±0.46b,1.26,4.16±1.25a,4.16,yes,relative peak area (%) by SAFE extraction solvent,
BDF-047,beef:fat,beef,abdominal subcutaneous fat,dry-rendered at 130±5°C for 20 min,SRC-BEEF-FAT-001,Acids,Acids,2-Methylpropionic acid,,1581,RI/MS/S,yes,,,partial_no_numeric_match_factor_standard_confirmed,0.11±0.02c,0.11,0.05±0.01c,0.05,0.21±0.08b,0.21,3.18±0.96a,3.18,yes,relative peak area (%) by SAFE extraction solvent,
BDF-048,beef:fat,beef,abdominal subcutaneous fat,dry-rendered at 130±5°C for 20 min,SRC-BEEF-FAT-001,Acids,Acids,Butyric acid,,1637,RI/MS/S,yes,,,partial_no_numeric_match_factor_standard_confirmed,0.37±0.07c,0.37,0.51±0.14b,0.51,0.42±0.15c,0.42,0.79±0.24a,0.79,yes,relative peak area (%) by SAFE extraction solvent,
BDF-049,beef:fat,beef,abdominal subcutaneous fat,dry-rendered at 130±5°C for 20 min,SRC-BEEF-FAT-001,Acids,Acids,4-Hydroxybutyric acid,,1640,RI/MS/S,yes,,,partial_no_numeric_match_factor_standard_confirmed,1.55±0.37b,1.55,1.32±0.38b,1.32,1.25±0.30b,1.25,5.23±1.57a,5.23,yes,relative peak area (%) by SAFE extraction solvent,
BDF-050,beef:fat,beef,abdominal subcutaneous fat,dry-rendered at 130±5°C for 20 min,SRC-BEEF-FAT-001,Acids,Acids,3-Methylbutyric acid,,1680,RI/MS/S,yes,,,partial_no_numeric_match_factor_standard_confirmed,0.97±0.23b,0.97,1.22±0.35a,1.22,1.53±0.37a,1.53,-,,yes,relative peak area (%) by SAFE extraction solvent,
BDF-051,beef:fat,beef,abdominal subcutaneous fat,dry-rendered at 130±5°C for 20 min,SRC-BEEF-FAT-001,Acids,Acids,Pentanoic acid,,1760,RI/MS/S,yes,,,partial_no_numeric_match_factor_standard_confirmed,0.06±0.01c,0.06,0.11±0.03b,0.11,0.30±0.07a,0.3,0.05±0.01c,0.05,yes,relative peak area (%) by SAFE extraction solvent,
BDF-052,beef:fat,beef,abdominal subcutaneous fat,dry-rendered at 130±5°C for 20 min,SRC-BEEF-FAT-001,Acids,Acids,4-Pentenoic acid,,1770,RI/MS,no,,,partial_no_numeric_match_factor,-,,-,,-,,0.06±0.02,0.06,yes,relative peak area (%) by SAFE extraction solvent,
BDF-053,beef:fat,beef,abdominal subcutaneous fat,dry-rendered at 130±5°C for 20 min,SRC-BEEF-FAT-001,Acids,Acids,Hexanoic acid,,1854,RI/MS/S,yes,,,partial_no_numeric_match_factor_standard_confirmed,4.98±1.18b,4.98,8.97±2.60a,8.97,7.29±1.75a,7.29,2.30±0.69c,2.3,yes,relative peak area (%) by SAFE extraction solvent,
BDF-054,beef:fat,beef,abdominal subcutaneous fat,dry-rendered at 130±5°C for 20 min,SRC-BEEF-FAT-001,Acids,Acids,Heptanoic acid,,1961,RI/MS/S,yes,,,partial_no_numeric_match_factor_standard_confirmed,0.26±0.06a,0.26,0.08±0.02b,0.08,0.06±0.01c,0.06,0.33±0.1a,0.33,yes,relative peak area (%) by SAFE extraction solvent,
BDF-055,beef:fat,beef,abdominal subcutaneous fat,dry-rendered at 130±5°C for 20 min,SRC-BEEF-FAT-001,Acids,Acids,Octanoic acid,,2066,RI/MS/S,yes,,,partial_no_numeric_match_factor_standard_confirmed,3.83±0.91a,3.83,2.25±0.65b,2.25,2.30±0.55b,2.3,-,,yes,relative peak area (%) by SAFE extraction solvent,
BDF-056,beef:fat,beef,abdominal subcutaneous fat,dry-rendered at 130±5°C for 20 min,SRC-BEEF-FAT-001,Acids,Acids,Nonanoic acid,,2153,RI/MS/S,yes,,,partial_no_numeric_match_factor_standard_confirmed,0.08±0.02a,0.08,0.02±0.01c,0.02,0.05±0.01b,0.05,-,,yes,relative peak area (%) by SAFE extraction solvent,
BDF-057,beef:fat,beef,abdominal subcutaneous fat,dry-rendered at 130±5°C for 20 min,SRC-BEEF-FAT-001,Acids,Acids,(E)-9-Decenoic acid,,2342,RI/MS,no,,,partial_no_numeric_match_factor,0.30±0.07c,0.3,0.33±0.10c,0.33,0.61±0.15a,0.61,0.44±0.11b,0.44,yes,relative peak area (%) by SAFE extraction solvent,
BDF-058,beef:fat,beef,abdominal subcutaneous fat,dry-rendered at 130±5°C for 20 min,SRC-BEEF-FAT-001,Acids,Acids,Benzoic acid,,2422,RI/MS/S,yes,,,partial_no_numeric_match_factor_standard_confirmed,0.36±0.08a,0.36,0.36±0.10a,0.36,0.34±0.08a,0.34,0.26±0.06b,0.26,yes,relative peak area (%) by SAFE extraction solvent,
BDF-059,beef:fat,beef,abdominal subcutaneous fat,dry-rendered at 130±5°C for 20 min,SRC-BEEF-FAT-001,Acids,Acids,Dodecanoic acid,,2448,RI/MS,no,,,partial_no_numeric_match_factor,0.35±0.08c,0.35,0.61±0.18b,0.61,0.95±0.23a,0.95,-,,yes,relative peak area (%) by SAFE extraction solvent,
BDF-060,beef:fat,beef,abdominal subcutaneous fat,dry-rendered at 130±5°C for 20 min,SRC-BEEF-FAT-001,Acids,Acids,Decanoic acid,,2490,RI/MS,no,,,partial_no_numeric_match_factor,0.44±0.10c,0.44,0.37±0.11c,0.37,1.39±0.33a,1.39,0.74±0.19b,0.74,yes,relative peak area (%) by SAFE extraction solvent,
BDF-061,beef:fat,beef,abdominal subcutaneous fat,dry-rendered at 130±5°C for 20 min,SRC-BEEF-FAT-001,Acids,Acids,Oleic acid,,2511,RI/MS,no,,,partial_no_numeric_match_factor,0.45±0.11a,0.45,0.55±0.13a,0.55,0.10±0.02b,0.1,-,,yes,relative peak area (%) by SAFE extraction solvent,
BDF-062,beef:fat,beef,abdominal subcutaneous fat,dry-rendered at 130±5°C for 20 min,SRC-BEEF-FAT-001,Acids,Acids,Myristic acid,,2692,RI/MS,no,,,partial_no_numeric_match_factor,0.44±0.11c,0.44,4.46±1.08a,4.46,1.07±0.26b,1.07,-,,yes,relative peak area (%) by SAFE extraction solvent,
BDF-063,beef:fat,beef,abdominal subcutaneous fat,dry-rendered at 130±5°C for 20 min,SRC-BEEF-FAT-001,Acids,Acids,Pentadecanoic acid,,2821,RI/MS,no,,,partial_no_numeric_match_factor,0.27±0.07b,0.27,0.90±0.22a,0.9,0.29±0.07b,0.29,-,,yes,relative peak area (%) by SAFE extraction solvent,
BDF-064,beef:fat,beef,abdominal subcutaneous fat,dry-rendered at 130±5°C for 20 min,SRC-BEEF-FAT-001,Acids,Acids,Lactic acid,,2850,RI/MS,no,,,partial_no_numeric_match_factor,2.00±0.51b,2.0,3.61±0.88a,3.61,1.98±0.47b,1.98,-,,yes,relative peak area (%) by SAFE extraction solvent,
BDF-065,beef:fat,beef,abdominal subcutaneous fat,dry-rendered at 130±5°C for 20 min,SRC-BEEF-FAT-001,Acids,Acids,Heptadecanoic acid,,2885,RI/MS,no,,,partial_no_numeric_match_factor,-,,-,,-,,0.29±0.07,0.29,yes,relative peak area (%) by SAFE extraction solvent,
BDF-066,beef:fat,beef,abdominal subcutaneous fat,dry-rendered at 130±5°C for 20 min,SRC-BEEF-FAT-001,Lactones,Lactones,4-Hydroxy-5-methyl-2(3H)-furanone,,1617,RI/MS,no,,,partial_no_numeric_match_factor,0.47±0.12b,0.47,0.80±0.19a,0.8,0.50±0.12b,0.5,0.60±0.15b,0.6,yes,relative peak area (%) by SAFE extraction solvent,
BDF-067,beef:fat,beef,abdominal subcutaneous fat,dry-rendered at 130±5°C for 20 min,SRC-BEEF-FAT-001,Lactones,Lactones,gamma-Hexalactone,,1702,RI/MS,no,,,partial_no_numeric_match_factor,0.73±0.19a,0.73,0.24±0.06c,0.24,0.59±0.14b,0.59,-,,yes,relative peak area (%) by SAFE extraction solvent,
BDF-068,beef:fat,beef,abdominal subcutaneous fat,dry-rendered at 130±5°C for 20 min,SRC-BEEF-FAT-001,Lactones,Lactones,2(3H)-Furanone,,1720,RI/MS,no,,,partial_no_numeric_match_factor,0.11±0.03b,0.11,0.01±0.00c,0.01,0.16±0.04a,0.16,-,,yes,relative peak area (%) by SAFE extraction solvent,
BDF-069,beef:fat,beef,abdominal subcutaneous fat,dry-rendered at 130±5°C for 20 min,SRC-BEEF-FAT-001,Lactones,Lactones,gamma-Octalactone,,1915,RI/MS,no,,,partial_no_numeric_match_factor,0.16±0.04c,0.16,0.40±0.10a,0.4,0.24±0.06b,0.24,-,,yes,relative peak area (%) by SAFE extraction solvent,
BDF-070,beef:fat,beef,abdominal subcutaneous fat,dry-rendered at 130±5°C for 20 min,SRC-BEEF-FAT-001,Lactones,Lactones,5-Acetyldihydroxy-2(3H)-furanone,,2012,RI/MS,no,,,partial_no_numeric_match_factor,0.42±0.11b,0.42,1.02±0.25a,1.02,0.92±0.22a,0.92,-,,yes,relative peak area (%) by SAFE extraction solvent,
BDF-071,beef:fat,beef,abdominal subcutaneous fat,dry-rendered at 130±5°C for 20 min,SRC-BEEF-FAT-001,Lactones,Lactones,gamma-Nonalactone,,2027,RI/MS,no,,,partial_no_numeric_match_factor,0.11±0.03a,0.11,0.20±0.05a,0.2,0.15±0.04a,0.15,-,,yes,relative peak area (%) by SAFE extraction solvent,
BDF-072,beef:fat,beef,abdominal subcutaneous fat,dry-rendered at 130±5°C for 20 min,SRC-BEEF-FAT-001,Sulfur compounds,Sulfur compounds,Thiophene,,1020,RI/MS/S,yes,,,partial_no_numeric_match_factor_standard_confirmed,0.25±0.06a,0.25,0.02±0.01c,0.02,0.12±0.04b,0.12,-,,yes,relative peak area (%) by SAFE extraction solvent,
BDF-073,beef:fat,beef,abdominal subcutaneous fat,dry-rendered at 130±5°C for 20 min,SRC-BEEF-FAT-001,Sulfur compounds,Sulfur compounds,"2,3-Dihydroxy-5-methylthiophene",,1102,RI/MS,no,,,partial_no_numeric_match_factor,-,,-,,-,,0.05±0.01,0.05,yes,relative peak area (%) by SAFE extraction solvent,
