detected_record_id,product_id,protein,material,state_scope,source_id,compound_group,compound_name,cas,retention_time_min,source_relevance_match_pct,source_identification_field_definition,numeric_mass_match_factor,chromatographic_lri_observed,mr09_identification_status,odor_descriptor,odor_threshold_ppm,notes
BDA-011,beef:muscle,beef,M. longissimus lumborum,dry/wet aging identification union across day 0-28,SRC-BEEF-AGE-001,S-containing,2-Methyl-2-propanethiol,,17.99,88.64,source RI = relevance index / matching probability based on Kovats-RI comparison to AroChemBase,,,source_matching_probability_reported_not_chromatographic_lri,Sulfurous,0.33,This row proves study-level identification across aging; it does not mean the compound was detected in every dry- or wet-aged timepoint.
BDA-012,beef:muscle,beef,M. longissimus lumborum,dry/wet aging identification union across day 0-28,SRC-BEEF-AGE-001,S-containing,Carbon disulfide,,17.3,71.6,source RI = relevance index / matching probability based on Kovats-RI comparison to AroChemBase,,,source_matching_probability_reported_not_chromatographic_lri,"Burnt, cabbage, fruity, sulfurous",210,This row proves study-level identification across aging; it does not mean the compound was detected in every dry- or wet-aged timepoint.
BDA-013,beef:muscle,beef,M. longissimus lumborum,dry/wet aging identification union across day 0-28,SRC-BEEF-AGE-001,S-containing,Dimethyl trisulfide,,101.67,85.46,source RI = relevance index / matching probability based on Kovats-RI comparison to AroChemBase,,,source_matching_probability_reported_not_chromatographic_lri,"Alliaceous, cabbage, fishy, meaty, onion, sulfurous",0.1,This row proves study-level identification across aging; it does not mean the compound was detected in every dry- or wet-aged timepoint.
BDA-014,beef:muscle,beef,M. longissimus lumborum,dry/wet aging identification union across day 0-28,SRC-BEEF-AGE-001,Alcohols,1-Methoxy-2-propanol,,34.76,76.18,source RI = relevance index / matching probability based on Kovats-RI comparison to AroChemBase,,,source_matching_probability_reported_not_chromatographic_lri,Mild,839-33000,This row proves study-level identification across aging; it does not mean the compound was detected in every dry- or wet-aged timepoint.
BDA-015,beef:muscle,beef,M. longissimus lumborum,dry/wet aging identification union across day 0-28,SRC-BEEF-AGE-001,Alcohols,2-Butanol,,28.35,56.68,source RI = relevance index / matching probability based on Kovats-RI comparison to AroChemBase,,,source_matching_probability_reported_not_chromatographic_lri,"Pleasant, strong, sweet, wine",220,This row proves study-level identification across aging; it does not mean the compound was detected in every dry- or wet-aged timepoint.
BDA-016,beef:muscle,beef,M. longissimus lumborum,dry/wet aging identification union across day 0-28,SRC-BEEF-AGE-001,Alcohols,4-Methyl-1-hexanol,,97.21,92.13,source RI = relevance index / matching probability based on Kovats-RI comparison to AroChemBase,,,source_matching_probability_reported_not_chromatographic_lri,"Grassy, sweaty, nutty, oily, roasty",2000,This row proves study-level identification across aging; it does not mean the compound was detected in every dry- or wet-aged timepoint.
BDA-017,beef:muscle,beef,M. longissimus lumborum,dry/wet aging identification union across day 0-28,SRC-BEEF-AGE-001,Alcohols,4-Nonanol,,139.31,76.28,source RI = relevance index / matching probability based on Kovats-RI comparison to AroChemBase,,,source_matching_probability_reported_not_chromatographic_lri,Sweet,,This row proves study-level identification across aging; it does not mean the compound was detected in every dry- or wet-aged timepoint.
BDA-018,beef:muscle,beef,M. longissimus lumborum,dry/wet aging identification union across day 0-28,SRC-BEEF-AGE-001,Hydrocarbons/esters/acids,"2,2-Dichloropropane",,21.81,89.93,source RI = relevance index / matching probability based on Kovats-RI comparison to AroChemBase,,,source_matching_probability_reported_not_chromatographic_lri,,,This row proves study-level identification across aging; it does not mean the compound was detected in every dry- or wet-aged timepoint.
BDA-019,beef:muscle,beef,M. longissimus lumborum,dry/wet aging identification union across day 0-28,SRC-BEEF-AGE-001,Hydrocarbons/esters/acids,3-Methyldecane,,134.73,82.85,source RI = relevance index / matching probability based on Kovats-RI comparison to AroChemBase,,,source_matching_probability_reported_not_chromatographic_lri,"Balsamic, mild, phenolic",,This row proves study-level identification across aging; it does not mean the compound was detected in every dry- or wet-aged timepoint.
BDA-020,beef:muscle,beef,M. longissimus lumborum,dry/wet aging identification union across day 0-28,SRC-BEEF-AGE-001,Hydrocarbons/esters/acids,4-Methyldecane,,132.13,91.5,source RI = relevance index / matching probability based on Kovats-RI comparison to AroChemBase,,,source_matching_probability_reported_not_chromatographic_lri,"Fatty, fresh, waxy",,This row proves study-level identification across aging; it does not mean the compound was detected in every dry- or wet-aged timepoint.
BDA-021,beef:muscle,beef,M. longissimus lumborum,dry/wet aging identification union across day 0-28,SRC-BEEF-AGE-001,Hydrocarbons/esters/acids,Butane,,11.08,68.12,source RI = relevance index / matching probability based on Kovats-RI comparison to AroChemBase,,,source_matching_probability_reported_not_chromatographic_lri,Faint,1200000,This row proves study-level identification across aging; it does not mean the compound was detected in every dry- or wet-aged timepoint.
BDA-022,beef:muscle,beef,M. longissimus lumborum,dry/wet aging identification union across day 0-28,SRC-BEEF-AGE-001,Hydrocarbons/esters/acids,Ethylcyclopentane,,38.58,76.25,source RI = relevance index / matching probability based on Kovats-RI comparison to AroChemBase,,,source_matching_probability_reported_not_chromatographic_lri,"Alkane, fruity, gasoline, sweet",,This row proves study-level identification across aging; it does not mean the compound was detected in every dry- or wet-aged timepoint.
BDA-023,beef:muscle,beef,M. longissimus lumborum,dry/wet aging identification union across day 0-28,SRC-BEEF-AGE-001,Hydrocarbons/esters/acids,Heptane,,33.95,60.05,source RI = relevance index / matching probability based on Kovats-RI comparison to AroChemBase,,,source_matching_probability_reported_not_chromatographic_lri,"Floral, fruity, sweet",400000,This row proves study-level identification across aging; it does not mean the compound was detected in every dry- or wet-aged timepoint.
BDA-024,beef:muscle,beef,M. longissimus lumborum,dry/wet aging identification union across day 0-28,SRC-BEEF-AGE-001,Hydrocarbons/esters/acids,Octane,,41.04,95.87,source RI = relevance index / matching probability based on Kovats-RI comparison to AroChemBase,,,source_matching_probability_reported_not_chromatographic_lri,"Alkane, fruity, sweet, fatty, solvent",1700,This row proves study-level identification across aging; it does not mean the compound was detected in every dry- or wet-aged timepoint.
BDA-025,beef:muscle,beef,M. longissimus lumborum,dry/wet aging identification union across day 0-28,SRC-BEEF-AGE-001,Hydrocarbons/esters/acids,Ethyl propanoate,,31.1,86.29,source RI = relevance index / matching probability based on Kovats-RI comparison to AroChemBase,,,source_matching_probability_reported_not_chromatographic_lri,"Burnt, fermented, fruity, green, malty, nutty, sour",0.01,This row proves study-level identification across aging; it does not mean the compound was detected in every dry- or wet-aged timepoint.
BDA-026,beef:muscle,beef,M. longissimus lumborum,dry/wet aging identification union across day 0-28,SRC-BEEF-AGE-001,Hydrocarbons/esters/acids,Methyl 2-methylbutanoate,,44.63,90.84,source RI = relevance index / matching probability based on Kovats-RI comparison to AroChemBase,,,source_matching_probability_reported_not_chromatographic_lri,"Fatty, fruity, green",0.4,This row proves study-level identification across aging; it does not mean the compound was detected in every dry- or wet-aged timepoint.
BDA-027,beef:muscle,beef,M. longissimus lumborum,dry/wet aging identification union across day 0-28,SRC-BEEF-AGE-001,Hydrocarbons/esters/acids,Methyl 2-butenoate,,41.36,77.98,source RI = relevance index / matching probability based on Kovats-RI comparison to AroChemBase,,,source_matching_probability_reported_not_chromatographic_lri,"Blackcurrant, fruity",,This row proves study-level identification across aging; it does not mean the compound was detected in every dry- or wet-aged timepoint.
BDA-028,beef:muscle,beef,M. longissimus lumborum,dry/wet aging identification union across day 0-28,SRC-BEEF-AGE-001,Hydrocarbons/esters/acids,Propyl propanoate,,58.53,90.15,source RI = relevance index / matching probability based on Kovats-RI comparison to AroChemBase,,,source_matching_probability_reported_not_chromatographic_lri,"Fruity, green, sweet",0.88,This row proves study-level identification across aging; it does not mean the compound was detected in every dry- or wet-aged timepoint.
BDA-029,beef:muscle,beef,M. longissimus lumborum,dry/wet aging identification union across day 0-28,SRC-BEEF-AGE-001,Hydrocarbons/esters/acids,2-Methylpropanoic acid,,49.12,77.12,source RI = relevance index / matching probability based on Kovats-RI comparison to AroChemBase,,,source_matching_probability_reported_not_chromatographic_lri,"Dairy, fatty, pungent, rancid, sour, sweaty",50,This row proves study-level identification across aging; it does not mean the compound was detected in every dry- or wet-aged timepoint.
BDA-030,beef:muscle,beef,M. longissimus lumborum,dry/wet aging identification union across day 0-28,SRC-BEEF-AGE-001,Hydrocarbons/esters/acids,Hexanoic acid,,110.28,91.42,source RI = relevance index / matching probability based on Kovats-RI comparison to AroChemBase,,,source_matching_probability_reported_not_chromatographic_lri,"Cheesy, fatty, pungent, rancid, sour, sweaty",3000000,This row proves study-level identification across aging; it does not mean the compound was detected in every dry- or wet-aged timepoint.
BDA-031,beef:muscle,beef,M. longissimus lumborum,dry/wet aging identification union across day 0-28,SRC-BEEF-AGE-001,Others,"1,2,4-Thiadiazole,5-ethoxy-3-(trichloromethyl)-",,248.1,87.34,source RI = relevance index / matching probability based on Kovats-RI comparison to AroChemBase,,,source_matching_probability_reported_not_chromatographic_lri,Mild,,This row proves study-level identification across aging; it does not mean the compound was detected in every dry- or wet-aged timepoint.
BDA-032,beef:muscle,beef,M. longissimus lumborum,dry/wet aging identification union across day 0-28,SRC-BEEF-AGE-001,Others,Demeton-O,,264.1,59.09,source RI = relevance index / matching probability based on Kovats-RI comparison to AroChemBase,,,source_matching_probability_reported_not_chromatographic_lri,,,This row proves study-level identification across aging; it does not mean the compound was detected in every dry- or wet-aged timepoint.
BDA-033,beef:muscle,beef,M. longissimus lumborum,dry/wet aging identification union across day 0-28,SRC-BEEF-AGE-001,Others,Diisopropyl ether,,16.83,89.64,source RI = relevance index / matching probability based on Kovats-RI comparison to AroChemBase,,,source_matching_probability_reported_not_chromatographic_lri,Ethereal,,This row proves study-level identification across aging; it does not mean the compound was detected in every dry- or wet-aged timepoint.
BDA-034,beef:muscle,beef,M. longissimus lumborum,dry/wet aging identification union across day 0-28,SRC-BEEF-AGE-001,Others,Ethyl chloride,,13.93,92.29,source RI = relevance index / matching probability based on Kovats-RI comparison to AroChemBase,,,source_matching_probability_reported_not_chromatographic_lri,"Ethereal, pungent",3800-379000,This row proves study-level identification across aging; it does not mean the compound was detected in every dry- or wet-aged timepoint.
BDA-035,beef:muscle,beef,M. longissimus lumborum,dry/wet aging identification union across day 0-28,SRC-BEEF-AGE-001,Others,Limonene,,125.69,78.19,source RI = relevance index / matching probability based on Kovats-RI comparison to AroChemBase,,,source_matching_probability_reported_not_chromatographic_lri,"Citrus, fruity, minty",38,This row proves study-level identification across aging; it does not mean the compound was detected in every dry- or wet-aged timepoint.
BDA-036,beef:muscle,beef,M. longissimus lumborum,dry/wet aging identification union across day 0-28,SRC-BEEF-AGE-001,Others,p-Cymene,,121.27,93.22,source RI = relevance index / matching probability based on Kovats-RI comparison to AroChemBase,,,source_matching_probability_reported_not_chromatographic_lri,"Citrus, fruity, herbaceous, pleasant, solvent, spicy, sweet",120,This row proves study-level identification across aging; it does not mean the compound was detected in every dry- or wet-aged timepoint.
BDA-037,beef:muscle,beef,M. longissimus lumborum,dry/wet aging identification union across day 0-28,SRC-BEEF-AGE-001,Others,Perfluorononane,,9.25,87.8,source RI = relevance index / matching probability based on Kovats-RI comparison to AroChemBase,,,source_matching_probability_reported_not_chromatographic_lri,,,This row proves study-level identification across aging; it does not mean the compound was detected in every dry- or wet-aged timepoint.
