Product,Product Category,Product Group,Concentration_sq_Sum,TPSA_weighted_Sum,InactiveAidCount_weighted_Sum,HydrogenBondDonorCount_weighted_Sum,TautomerCount_weighted_Sum,BondChiralCount_weighted_Sum,ActiveAidCount_weighted_Sum,IsotopeAtomCount_weighted_Sum,HydrogenBondAcceptorCount_weighted_Sum,XLogP_weighted_Sum,BondChiralUndefCount_weighted_Sum,TotalAidCount_weighted_Sum,MolecularWeight_weighted_Sum,BondChiralDefCount_weighted_Sum,TotalFormalCharge_weighted_Sum,Complexity_weighted_Sum,AtomChiralDefCount_weighted_Sum,AtomChiralUndefCount_weighted_Sum,AtomChiralCount_weighted_Sum,RotatableBondCount_weighted_Sum,CovalentUnitCount_weighted_Sum,HeavyAtomCount_weighted_Sum,Final_Count,Initial_Count,Inclusion_Rate
APPLE BRANDY (Calvados),,Alcoholic Beverages > 20% alc.,9154891.068,173071.235,1256630.991,5911.519746,8080.829614,18.069524,12492.76069,0,9976.613251,4122.091554,8.000017,1543036.11,560679.158,10.069507,0,200919.7527,0,1244.500036,1244.500036,10946.46748,7756.003329,37824.98801,191,393,0.4860050891
ARRACK,,Alcoholic Beverages > 20% alc.,1588032.84,65816.9,688634.2,1903.2,3072.6,0,5210,0,3976,2323.32,0,755266.6,232461.229,0,0,82734.74,0,48.8,48.8,5378.8,2972.6,15754.2,25,40,0.625
BLACKBERRY BRANDY,,Alcoholic Beverages > 20% alc.,105450.7256,8950.768,85309.28,336,448.36,0,1037.96,0,503.72,-56.106,0,95356.86,20468.93526,0,0,5539.468,0,0,0,290.76,429.36,1338,14,17,0.8235294118
GIN,,Alcoholic Beverages > 20% alc.,5801.12,1729.600079,17333.20028,78.8,91.600003,0,218.000002,0,87.600006,-36.9199891,0,19322.80032,3013.566517,0,0,313.8403365,0,0,0,6.000024,86.000003,191.200036,9,66,0.1363636364
MEZCAL (Agave salmiana),,Alcoholic Beverages > 20% alc.,960909.75,46832.5,265540,1793,2055.5,0,4534,0,2528.5,30,0,318849,111993.3885,0,0,31752.45,0,139,139,1393,1995.5,7424,10,28,0.3571428571
MULBERRY SPIRIT (Mouro),,Alcoholic Beverages > 20% alc.,5651442.813,105975.982,672225.21,1608.39,4418.49,0.6,9327.31,0,7125.38,2533.061,0,774829.6,346037.9174,0.6,0,168498.741,0,263,263,7731.11,4200.49,23494.12,27,28,0.9642857143
PEAR BRANDY,,Alcoholic Beverages > 20% alc.,58193645.92,285157.4506,2330142.701,9214.500008,13091.00003,237.100006,23845.30002,0,16751.70004,1086.520081,97.100004,2711586.302,731584.8319,140.000002,0,255981.4528,0,421.600002,421.600002,11636.00016,12843.20003,48539.70028,71,106,0.6698113208
TEQUILA (Agave tequilana),,Alcoholic Beverages > 20% alc.,629707.0836,26060.6575,215867.005,1102.81,1197.475,0.71,2231.565,0,1381.6,109.412,0.71,240279.94,65765.47936,0,0,21252.2205,0,91.34,91.34,1076.75,1167.115,4359.17,18,198,0.09090909091
OUZO,ANISE BRANDY,Alcoholic Beverages > 20% alc.,172705.5737,8865.97002,60417.16012,179.120001,714.880001,516.6,341.420001,0,733.920001,1724.634,368.6,68155.08014,87343.65574,148,0,65248.16201,0,0.2,0.2,1189.260001,714.320001,6401.020004,27,45,0.6
PASTIS,ANISE BRANDY,Alcoholic Beverages > 20% alc.,3688788.435,18948.12,88145.36,56.8,1982,1920,113.6,0,1987.2,6320.36,1920,91467.6,287140.1652,0,0,232783.24,0,0.16,0.16,3863.2,1982,21287.2,7,8,0.875
RAKI,ANISE BRANDY,Alcoholic Beverages > 20% alc.,2291371.064,38928.618,217590.04,1239.74,2669.14,1377.5,1290.64,0,2721.04,5145.122,1377.5,239087.42,287973.1723,0,0,186654.124,0,97.68,97.68,4173.64,2669.14,20758.7,12,13,0.9230769231
RUM Category I (total volatiles > 3600 ppm),RUM,Alcoholic Beverages > 20% alc.,16122342.19,146084.325,812165,2653,6202,0,10177,0,9665.5,3662.225,0,972514.5,481773.4715,0,0,203555.45,2.5,85,87.5,10282.75,6151.75,32620.75,19,19,1
RUM Category II (total volatiles 1100-3600 ppm),RUM,Alcoholic Beverages > 20% alc.,1756508.237,81008.14907,393928.1655,1627.365002,3947.435004,11.24,4924.980007,0,5467.400005,3195.910005,9.83,454278.5006,320462.7067,1.41,0,141805.1707,0,239.6700005,239.6700005,8302.735008,3446.935003,21850.36002,163,201,0.8109452736
RUM Category III (total volatiles 240-1100 ppm),RUM,Alcoholic Beverages > 20% alc.,143670.1602,19093.84474,91764.56116,605.385003,906.345009,0.1650015,1425.64001,0,1107.535017,718.3070275,0.060001,108006.4712,69612.88208,0.1050005,0,24994.91002,0,49.1050015,49.1050015,1499.485061,859.760008,4726.305101,50,50,1
BOURBON WHISKEY,WHISKY,Alcoholic Beverages > 20% alc.,2859605.924,97584.49304,339018.6743,3408.020001,5684.515052,6.6400005,8343.566309,0,5437.270003,3683.595074,3.3000005,423129.3309,346060.5977,3.34,0,136818.6471,8.38,969.2000005,977.5800005,7263.460009,4016.435052,23563.42183,101,136,0.7426470588
CANADIAN WHISKY,WHISKY,Alcoholic Beverages > 20% alc.,76050.52804,19690.73136,81109.24263,579.8760065,1597.141022,1.735001,3123.351086,0,1146.081009,486.7471091,1.205,105089.9333,61278.03611,0.530001,0,27541.38068,2.04,88.4,90.44,1112.630004,746.0860055,4170.928047,84,90,0.9333333333
FINNISH WHISKY,WHISKY,Alcoholic Beverages > 20% alc.,11339.22552,4715.608819,9649.621995,126.4,126.44386,0,675.090345,0,252.86886,16.7324375,0,19210.65504,8751.233459,0,0,4736.13266,0,0,0,80.900345,126.443735,588.361005,21,45,0.4666666667
IRISH WHISKEY,WHISKY,Alcoholic Beverages > 20% alc.,470201.4924,38105.08077,164427.9115,1420.136002,1753.291005,1.750001,2531.951024,0,2085.306004,1503.976602,1.25,197313.0817,138437.3278,0.500001,0,48674.25942,1.58,188.5,190.08,2915.575003,1672.241001,9407.373014,82,88,0.9318181818
JAPANESE WHISKY,WHISKY,Alcoholic Beverages > 20% alc.,186607.8227,23262.95141,131646.7191,785.6895085,1048.808297,2.440001,1558.109801,0,1312.861022,1124.812009,1.34,149803.9824,90057.8535,1.100001,0,35227.80405,0,5.45,5.45,2308.464576,1005.26729,6144.467281,79,109,0.7247706422
MALT WHISKY,WHISKY,Alcoholic Beverages > 20% alc.,1514057.471,69402.16288,293824.9289,2379.665501,4340.931206,15.1,5689.399809,0,3957.224206,3211.794432,14.35,342368.1224,270808.856,0.75,0,110891.4366,0,332.1150005,332.1150005,6632.537906,2959.854703,18499.14543,130,234,0.5555555556
SCOTCH BLENDED WHISKY,WHISKY,Alcoholic Beverages > 20% alc.,383100.1641,42351.21665,209449.6764,1434.519504,2525.573607,6.750001,4166.475925,0,2386.061309,1867.804548,4.6,247406.6645,159011.4624,2.150001,0,66243.56027,0,192.4500015,192.4500015,3820.52971,1765.162603,10866.56723,109,186,0.5860215054
BUCKWHEAT,,Bread & Cereals,0.184725,19.0755,70.665,0.22,2.1,0,1.155,0,1.085,2.6735,0,81.86,127.073755,0,0,62.212,0,0.03,0.03,5.17,1.025,8.95,16,219,0.07305936073
POPCORN,,Bread & Cereals,0.000676,0.7644,0,0,0.078,0,0,0,0.052,-0.0078,0,0,2.889692,0,0,3.354,0,0.026,0.026,0.026,0.026,0.208,1,72,0.01388888889
RYE BREAD,,Bread & Cereals,0.00484875,4.0482,23.714,0.02,0.2355,0,14.32,0,0.3165,0.1275,0,85.57,19.2770565,0,0,18.493,0,0.0025,0.0025,0.2165,0.1165,1.386,4,99,0.0404040404
WHEATEN BREAD,,Bread & Cereals,8520.27652,5254.3921,12349.448,117.227,193.408,0,710.162,0,292.9635,4.84,0,20991.8905,11366.47057,0,0,6177.462,0,0.075,0.075,80.7215,160.0065,778.6925,26,296,0.08783783784
BARLEY (unprocessed),BARLEY,Bread & Cereals,66096996.36,8492.6,1223.5,8151,8151,0,32533.3,0,8151,-5691.6,0,90861.5,139569.0719,0,0,148.61,0,0,0,11.4,8151,8204.7,7,7,1
CORN TORTILLAS,MAIZE (Zea mays L.),Bread & Cereals,0.04331409,14.8115002,11.496538,0.175501,1.864101,0.0266,0.2955,0,0.891301,0.7129926,0.0146,14.517541,61.96475921,0.012,0,42.371419,0,0.005501,0.005501,0.962905,0.544301,4.502709,27,31,0.8709677419
DENT CORN OIL,MAIZE (Zea mays L.),Bread & Cereals,32564000000,18535900,118948000,385000,1532000,29000,2765000,0,1099000,3252500,12000,155761000,138599918,17000,0,99978400,0,142000,142000,5873000,686000,9852000,81,90,0.9
SWEET CORN,MAIZE (Zea mays L.),Bread & Cereals,100608720.4,13044.86352,16637.17903,10157.494,10176.489,0.002,40689.614,0,10170.717,-7033.6095,0.001,263777.694,177514.4707,0.001,0,856.6324427,0,0.005,0.005,7.264,10169.982,10464.349,48,100,0.48
MALT,MALT,Bread & Cereals,1421569.085,3770.176771,4327.492519,1221.814,1330.041002,2.5975,4839.4655,0,1342.183502,-783.2857476,1.17,18171.74302,28419.37887,1.4275,0,4524.138636,0,0.47,0.47,70.646504,1278.248001,1744.85201,107,244,0.4385245902
WORT,MALT,Bread & Cereals,201.6877153,2231.0718,9332.212,66.179,99.545,12.49,304.4365,0,131.834,59.33475,4.21,11849.053,7085.24523,8.28,0,6089.73595,0,2.02,2.02,153.953,45.2965,505.7925,103,222,0.463963964
OATMEAL,OATS (Avena sativa L.),Bread & Cereals,27.07775,326.7885,1798.31,7.345,24.985,0.325,43.915,0,19.62,12.3315,0.045,2150.925,1078.76334,0.28,0,822.245,0,0.09,0.09,23.98,8.08,76.3,9,34,0.2647058824
OATMEAL (fresh extrusion product),OATS (Avena sativa L.),Bread & Cereals,77.52,560.53,3045.4,12.1,45.2,0.9,78,0,33.8,23.84,0.1,3621,1951.3103,0.8,0,1456.31,0,0.2,0.2,46.6,14.8,138.4,7,25,0.28
SCENTED RICE (cooked),RICE (Oryza sativa L.),Bread & Cereals,0.0289,4.998,0,0,0.51,0,0,0,0.34,-0.051,0,0,18.89414,0,0,21.93,0,0.17,0.17,0.17,0.17,1.36,1,155,0.006451612903
TRADITIONAL RICE (cooked),RICE (Oryza sativa L.),Bread & Cereals,0.000016,0.1176,0,0,0.012,0,0,0,0.008,-0.0012,0,0,0.444568,0,0,0.516,0,0.004,0.004,0.004,0.004,0.032,1,188,0.005319148936
COFFEE,,Coffee Tea Cocoa,10709653.24,245247.5714,619434.9362,7358.915327,16925.15778,9.235,65558.88846,0,14216.10283,905.3745715,8.75,1069416.298,536819.5282,0.485,0,317280.4585,5.76,157.515975,163.275975,2717.832504,7412.012779,37139.65515,268,834,0.3213429257
COCOA BUTTER,COCOA category,Coffee Tea Cocoa,13.84,95.74,1380.8,2.2,8.2,0,7.4,0,5.2,8.94,0,1493.4,597.7438,0,0,456.4,0,2.2,2.2,14.8,5.2,42.2,2,123,0.0162601626
COCOA LIQUOR,COCOA category,Coffee Tea Cocoa,329545570.5,2878526.676,10691476.45,84402.85,33576.67461,0.000001,282339.789,0,153113.2392,-29627.35581,0.000001,13861174.27,4112193.037,0,0,4083545.416,0,3351.1,3351.1,79125.40001,33545.67461,276693.6277,49,315,0.1555555556
COCOA POWDER,COCOA category,Coffee Tea Cocoa,246177560.7,2823420.516,10408087.22,86647.641,31921.55087,4.501,260145.9943,0,149486.4914,-33327.27396,2.4755,14177905.12,4099900.016,2.0255,0,4045705.809,0,10188.1964,10188.1964,81902.36613,31820.06132,275754.0969,134,314,0.4267515924
DARK CHOCOLATE,COCOA category,Coffee Tea Cocoa,19878557.3,812388.4743,3098344.006,24956.2935,8740.3575,0.521,76740.463,0,43013.634,-9730.1547,0.521,4151558.782,1178294.633,0,0,1197914.205,0,2735.202,2735.202,24727.9455,8596.1875,79340.519,53,118,0.4491525424
FERMENTED COCOA BEANS,COCOA category,Coffee Tea Cocoa,30827122.14,219447.3081,283429.3716,5850.2219,5978.59081,0.08188,33650.39329,0,11790.65634,-721.228341,0.08,759976.4313,369737.9025,0.00188,0,195116.2971,0,17.6516,17.6516,625.57311,5921.93248,24724.58396,60,105,0.5714285714
MILK CHOCOLATE,COCOA category,Coffee Tea Cocoa,42.25,111.15,208,0,13,0,6.5,0,6.5,6.5,0,247,559.858,0,0,254.8,0,0,0,13,6.5,39,1,83,0.01204819277
ROASTED COCOA BEANS,COCOA category,Coffee Tea Cocoa,122562851.7,1647184.82,5047623.204,49414.9659,22299.66477,4.641,144639.6438,0,87428.76199,-16012.31276,1.81,7428156.512,2407756.596,2.831,0,2162171.567,0,5865.7122,5865.7122,39328.8898,22190.40693,161684.9907,133,263,0.5057034221
BLACK TEA,TEA,Coffee Tea Cocoa,251342.7146,17147.91446,47135.60609,975.5550005,1167.863501,43.645,2731.845003,0,1175.934501,90.35799995,11.495,74928.55241,57197.88313,32.15,0,22475.74615,0.2,64.44,64.64,844.3625,1078.289501,3854.773002,63,588,0.1071428571
BLACK TEA (brewed),TEA,Coffee Tea Cocoa,253.1712495,1661.92885,10837.5265,53.0335,97.26,11.445,80.003,0,95.716,122.7344,2.7,12567.419,9032.210732,8.745,0,7961.96425,0,44.485,44.485,170.8705,66.345,643.18,70,96,0.7291666667
GREEN TEA,TEA,Coffee Tea Cocoa,118093.1268,15518.3581,48583.58,613.05,740.102,129.812,546.47,0,692.854,472.1741,24.63,60024.95,53957.02574,105.182,0,28666.0872,4.6,118.293,122.893,874.896,668.161,3752.028,100,272,0.3676470588
GREEN TEA (roasted),TEA,Coffee Tea Cocoa,1049.9,1481.9,5557,45.5,85.6,30.6,115,0,87.9,126.5,21.6,6164.8,8608.4946,9,0,6866.18,0,0.9,0.9,141.4,74.8,621.7,9,67,0.1343283582
MICROBIAL FERMENTED TEA,TEA,Coffee Tea Cocoa,14512,16864.10016,64341.001,358.000003,1106.000018,213.000001,1461.000063,0,1078.00001,1524.100012,95.000001,75111.00138,104606.7518,118,0,96658.1006,0,440,440,2305.000014,716.000007,7452.000057,102,241,0.4232365145
PARTIALLY FERMENTED TEA,TEA,Coffee Tea Cocoa,8612.088,4858.684,21407.95,177.9,294.58,18.86,336.45,0,263.08,335.904,17.84,27548.05,24519.95491,1.02,0,14118.015,0.44,111.83,112.27,490.51,235.36,1725.51,55,127,0.4330708661
BLUE CHEESES,,Dairy Products,345071728.4,1745814.908,17036247.99,48539.23,45757.78,16195.21,664147.31,0,92991.27,233309.235,1881.21,20497749.13,10381305.83,14314,0,7722572.595,0,3101.03,3101.03,528724.91,45012.99,729609.35,69,207,0.3333333333
CHEDDAR CHEESE,,Dairy Products,81622926.89,742359.6476,2749214.229,24060.99151,15548.04039,1216.897,51037.4655,0,39037.92501,6870.351503,560.8385,4787378.985,1599089.734,656.0585,0,1061358.197,1.9400005,8866.7985,8868.738501,37865.27151,15330.31538,108662.552,80,236,0.3389830508
SWISS CHEESES,,Dairy Products,20330637535,8717575.665,33078332.78,299047.325,156583.1574,1869,245812.283,0,455588.5698,-54353.66272,319,54101954.24,15137938.28,1550,0,10006926.24,0,142558.4355,142558.4355,244663.9406,156558.2794,1015419.624,48,166,0.2891566265
"CHEESES, OTHER","CHEESE, VARIOUS TYPES",Dairy Products,67220953.12,613331.3246,2032971.026,18269.645,16085.937,0,205792.1509,0,31370.12,8974.140909,0,3175571.293,1404701.343,0,0,809124.0394,0,1401.045,1401.045,31084.605,14935.207,96338.21213,36,243,0.1481481481
RUSSIAN CHEESES,"CHEESE, VARIOUS TYPES",Dairy Products,0.001069435,0.576885,4.5249,0.02575,0.0499,0,0.124,0,0.0499,0.040655,0,5.90395,4.202231,0,0,1.51851,0,0,0,0.0135,0.0499,0.3039,3,53,0.05660377358
BUTTER,MILK and MILK PRODUCTS,Dairy Products,2676888.009,135342.9684,570050.0256,3517.694502,3581.447652,916.2435,16686.78476,0,7347.565004,22522.9427,915.926,727977.9192,896625.9107,0.3175,0,677879.6253,0,13.148,13.148,46376.75811,3546.743652,63138.77237,134,286,0.4685314685
BUTTER (heated),MILK and MILK PRODUCTS,Dairy Products,95889.71604,21575.2644,50169.304,319.8,1527.885,302.86,3035.48,0,1221.346,2608.6208,182.47,79116.212,123874.8751,120.39,0,74328.9388,0,28.118,28.118,4862.86,977.787,8699.188,98,174,0.5632183908
BUTTERMILK,MILK and MILK PRODUCTS,Dairy Products,35430514.25,377370.7943,1301905.209,12816.5,6928.514,0,11149.506,0,19745.007,-4270.04145,0,2215121.244,593058.5685,0,0,379670.2169,0,5890,5890,5966.5125,6926.507,39512.5365,11,12,0.9166666667
CREAM,MILK and MILK PRODUCTS,Dairy Products,71572116.21,525579.8518,1835076.737,17944,9539.5365,0,13811.141,0,27482.658,-6022.12425,0,3109912.459,827172.7001,0,0,532935.8032,0,8410,8410,8594.3095,9534.658,55106.934,12,47,0.2553191489
MILK,MILK and MILK PRODUCTS,Dairy Products,18776.70263,17870.41636,105896.2231,500.6300005,449.8007005,117.2007,3766.917756,0,952.967401,1245.524906,30.00006,135660.5276,70589.79398,87.20064,0,50921.47396,0,60,60,2964.694491,444.8719005,4912.415495,49,207,0.2367149758
YOGURT,MILK and MILK PRODUCTS,Dairy Products,211728383.3,853495.4568,3171782.624,29517.43,15205.4151,0,16855.7253,0,44561.3212,-9955.04012,0,5322763.814,1349559.036,0,0,882182.3006,0,14570.75,14570.75,15144.3711,15047.9411,89965.5804,25,60,0.4166666667
ACEROLA (Malpighia),,Fruits,82.17082125,538.6505,2293.2785,19.96,26.2285,0.895,35.71,0,29.2555,39.0351,0.27,2668.6415,2597.110202,0.625,0,1424.37975,0.06,3.5165,3.5765,64.226,25.0585,182.252,117,203,0.5763546798
APRICOT (Prunus armeniaca L.),,Fruits,2362.366624,3638.8862,28506.7215,74.4555,182.3025,58.685,238.4495,0,208.4015,266.10855,2.035,30328.3015,17390.20072,56.65,0,11521.6071,3.375,45.9,49.275,487.924,155.2415,1222.847,114,216,0.5277777778
ARCTIC BRAMBLE (Rubus arcticus L.),,Fruits,357.67335,1835.8965,5507.41,37.545,174.86,4.77,196.9,0,116.295,42.8285,3.825,10568.4,6280.54272,0.945,0,5562.1045,0,32.215,32.215,75.39,62.63,437.575,58,80,0.725
AVOCADO (Persea americana Mill.),,Fruits,2.7225,61.545,848.1,1.65,1.65,0,18.15,0,3.3,3.135,0,1191.3,201.49965,0,0,171.6,0,0,0,1.65,1.65,14.85,1,94,0.01063829787
BANANA (Musa sapientum L.),,Fruits,15010.44703,8555.994,54016,49.365,428.705,53.635,536.5,0,609.425,466.017,5.735,67867.3,37200.7544,47.9,0,23298.379,0,10.25,10.25,991.175,355.765,2577.195,44,247,0.1781376518
BLACK CHOKE BERRY (Aronia melanocarpa Ell.),,Fruits,9.2208,183.1488634,673.725847,3.480021,6.600058,0.500004,16.960221,0,8.630051,5.2920544,0.310002,743.817387,560.099137,0.190002,0,517.0349338,0,2.940002,2.940002,6.53008,5.320027,41.430264,46,49,0.9387755102
CHERIMOYA (Annona cherimolia Mill.),,Fruits,3.43685,109.283,1265.99,4.16,5.12,0.255,7.67,0,6.08,9.2705,0.075,1352.375,576.519045,0.18,0,311.556,0,1.005,1.005,18.105,5.12,39.955,22,262,0.08396946565
CLOUDBERRY (Rubus chamaemorus L.),,Fruits,109083.785,13751.74063,175210.1546,372.150012,394.850032,13.900005,3812.400097,0,737.50004,690.6700387,7.700002,246102.657,45458.84735,6.200003,0,38394.01266,0,4.400006,4.400006,411.65006,373.700023,3342.200223,75,96,0.78125
"DALIEB, PALMYRA PALM FRUIT (Borassus aethiopum L.)",,Fruits,1508096,57277.1,242874,2066,2066,0,11411,0,2975,-59.3,0,1896690,114705.006,0,0,35279.1,0,4,4,485,2066,7593,10,29,0.3448275862
DATE (Phoenix dactylifera L.),,Fruits,2764.6925,7032.38,40837.85,209.1,538.55,31.2,1705.1,0,427.9,127.25,0,51952.6,18295.28075,31.2,0,19034.9,0,0,0,250,99.45,1305.8,4,156,0.02564102564
DURIAN (Durio zibethinus),,Fruits,0.477442,26.8706,34.56,0.69,2.122,0.001,0,0,1.484,-0.1393,0.001,34.71,67.269857,0,0,43.6569,0,0.711,0.711,0.903,0.742,4.583,4,139,0.02877697842
HOG PLUM (Spondias mombins L.),,Fruits,310453,28641.5,249371,927,1427,6,4149,0,1635,1426.1,0,901560,118541.819,6,0,64922.4,0,118,118,2152,1265,8296,41,46,0.8913043478
"KIWIFRUIT (Actinidia chinensis, syn. A. deliciosa)",,Fruits,171445418.2,2393283.948,9197608.474,82990.8307,19234.17071,9.289801,191567.934,0,125024.1523,-37263.44425,0.4,11254882.11,3628916.759,8.889801,0,4079069.436,14520,1110.053501,15630.0535,64859.84172,19232.68871,245452.6324,56,147,0.380952381
LITCHI (Litchi chinensis Sonn.),,Fruits,2.9058,102.1115,339.13,4.345,6.12,0.83,3.09,0,5.29,7.1615,0.6,363.11,502.109685,0.23,0,315.909,0,0.83,0.83,10.16,4.92,35.025,14,120,0.1166666667
LOGANBERRY (Rubus ursinus var. loganobaccus),,Fruits,1.722969,29.6685,263.92,0,3.481,0.019,20.125,0,1.735,0.2573,0,313.408,99.144531,0.019,0,33.5252,0,0,0,1.413,1.735,6.827,16,63,0.253968254
LOQUAT (Eriobotrya japonica Lindl.),,Fruits,10.025275,163.99,868.645,2.225,11.035,2.96,15.395,0,9.32,15.216,0.075,994.59,890.30252,2.885,0,501.7605,0,0.425,0.425,27.695,8.245,62.925,71,96,0.7395833333
MELON,,Fruits,12.03871281,401.21799,3308.2,12.896,55.6558,5.6869,323.322,0,21.4489,12.83997,0.2269,4259.189,1305.115799,5.46,-0.006,1161.27321,0,2.33,2.33,25.5094,9.5809,91.531,60,257,0.233463035
"MOUNTAIN PAPAYA (C. candamarcensis, C. pubescens)",,Fruits,1478.790125,2215.227,9295.255,12.19,90.645,0.515,180.535,0,160.635,116.34,0.14,10464.365,9420.29882,0.375,0,5350.0255,0.07,1.56,1.63,301.765,86.865,648.26,177,209,0.8468899522
MULBERRY (Morus species),,Fruits,13906490563,13571954.94,104459201.4,428264.3,137258.2,119.9,249499.6,0,716157.6,-185130.96,0,108538615.6,19217367.9,119.9,0,19043279.2,0,125857.6,125857.6,437546.9,136745.6,1291140.5,14,32,0.4375
NECTARINE,,Fruits,7.735375,80.7915,367.565,0.605,5.92,2.775,5.45,0,4.645,7.6075,0.115,411.975,471.51032,2.66,0,290.2935,0,0.26,0.26,15.205,4.565,33.435,18,142,0.1267605634
NONI (Morinda citrifolia L.),,Fruits,761.1574,1597.869,14633.74,35.01,46.76,0.22,70.46,0,92.21,154.473,0.19,15845.48,7256.43768,0.03,0,4617.336,0,0.2,0.2,317.49,46.4,504.49,30,30,1
PAPAYA (Carica papaya L.),,Fruits,388.4043346,1683.011915,9926.373923,37.3723555,47.447014,0.4665005,541.3674635,0,87.4939125,99.04452515,0.1451005,12275.73302,6087.463597,0.3214,0,4738.458158,0,11.770504,11.770504,150.3983175,47.032209,421.001768,150,290,0.5172413793
PAWPAW (Asimina triloba Dunal.),,Fruits,4683.055663,2938.867105,3043.704067,0.721,112.243006,1.327006,79.509002,0,222.824008,302.1400187,1.043002,3294.981083,16807.1152,0.284004,0,10601.72574,0,0.37,0.37,714.923036,111.467004,1167.181066,42,69,0.6086956522
PEACH (Prunus persica L.),,Fruits,14.47201988,263.4158802,3031.117731,5.789002,8.937012,0.6075025,42.79863,0,15.144508,17.8567745,0.0335,3725.663162,1075.357515,0.5740025,0,811.052334,0,2.069,2.069,21.4925185,8.559509,77.500087,31,143,0.2167832168
PINEAPPLE (Ananas comosus),,Fruits,332.7713308,1204.9172,1013.103615,18.89019,138.010295,0.1505,10.588155,0,81.13231,33.307156,0.0455,1489.156325,3848.514165,0.105,0,4337.29867,0.16716,21.37065,21.53781,52.39189,29.461215,268.046005,79,287,0.275261324
