record_id,product_id,family_id,material_role,preparation_state,source_id,source_group,normalized_group,compound_name_source,specific_ion_mz,lri,commercial_egg_CE,blue_shell_BSE,woorimatdag1,woorimatdag2,sem,metric,identification_method,numeric_match_factor,mr09_status,commercial_egg_detected,culinary_relevance_route,notes
DEY-BOIL-014,egg:yolk_chicken,family:egg,yolk_carrier,boiled_100C_15min,SRC-EGG-YOLK-BOIL-001,Alcohol,Alcohol,1-Octen-3-ol,57.0,970,0.443,0.411,0.266,0.529,0.0611,AU × 10^6,HS-SPME-GC-MS; source method references prior VOC-identification procedure; LRI reported for every row,,partial_no_numeric_match_factor,yes,normal_culinary_evidence,CE = commercial chicken egg control; breed values retained separately. Source-group taxonomy is preserved.
DEY-BOIL-015,egg:yolk_chicken,family:egg,yolk_carrier,boiled_100C_15min,SRC-EGG-YOLK-BOIL-001,Alcohol,Nitrogen heterocycle / ketone,1-Tetrazol-2-ylethanone,43.0,537,0.0,0.0,0.0,0.282,0.0639,AU × 10^6,HS-SPME-GC-MS; source method references prior VOC-identification procedure; LRI reported for every row,,partial_no_numeric_match_factor,no,normal_culinary_evidence,Source classifies this tetrazole ketone under Alcohol; source group preserved.
DEY-BOIL-016,egg:yolk_chicken,family:egg,yolk_carrier,boiled_100C_15min,SRC-EGG-YOLK-BOIL-001,Alcohol,Phenols,"2,6-Bis(1,1-dimethylethyl)-4-(1-oxopropyl)phenol",233.0,1642,0.026,0.015,0.017,0.013,0.0033,AU × 10^6,HS-SPME-GC-MS; source method references prior VOC-identification procedure; LRI reported for every row,,partial_no_numeric_match_factor,yes,normal_culinary_evidence,Source group Alcohol; normalized to Phenols by functional identity.
DEY-BOIL-017,egg:yolk_chicken,family:egg,yolk_carrier,boiled_100C_15min,SRC-EGG-YOLK-BOIL-001,Alcohol,Alcohol,"2-Octen-1-ol, (E)-",57.0,1074,0.013,0.01,0.004,0.009,0.0033,AU × 10^6,HS-SPME-GC-MS; source method references prior VOC-identification procedure; LRI reported for every row,,partial_no_numeric_match_factor,yes,normal_culinary_evidence,CE = commercial chicken egg control; breed values retained separately. Source-group taxonomy is preserved.
DEY-BOIL-018,egg:yolk_chicken,family:egg,yolk_carrier,boiled_100C_15min,SRC-EGG-YOLK-BOIL-001,Alcohol,Alcohol,"2-Propanol, 1-(2-butoxy-1-methylethoxy)-",59.0,1247,0.0,0.0,0.004,0.027,0.0034,AU × 10^6,HS-SPME-GC-MS; source method references prior VOC-identification procedure; LRI reported for every row,,partial_no_numeric_match_factor,no,normal_culinary_evidence,CE = commercial chicken egg control; breed values retained separately. Source-group taxonomy is preserved.
DEY-BOIL-019,egg:yolk_chicken,family:egg,yolk_carrier,boiled_100C_15min,SRC-EGG-YOLK-BOIL-001,Alcohol,Alcohol,3-Octen-1-ol,57.1,1075,0.0,0.0,0.004,0.0,0.0009,AU × 10^6,HS-SPME-GC-MS; source method references prior VOC-identification procedure; LRI reported for every row,,partial_no_numeric_match_factor,no,normal_culinary_evidence,CE = commercial chicken egg control; breed values retained separately. Source-group taxonomy is preserved.
DEY-BOIL-020,egg:yolk_chicken,family:egg,yolk_carrier,boiled_100C_15min,SRC-EGG-YOLK-BOIL-001,Alcohol,Nitrogen compounds,5H-Tetrazol-5-amine,57.1,1247,0.0,0.0,0.047,0.0,0.0174,AU × 10^6,HS-SPME-GC-MS; source method references prior VOC-identification procedure; LRI reported for every row,,partial_no_numeric_match_factor,no,normal_culinary_evidence,Source classifies this tetrazole amine under Alcohol; source group preserved.
DEY-BOIL-021,egg:yolk_chicken,family:egg,yolk_carrier,boiled_100C_15min,SRC-EGG-YOLK-BOIL-001,Alcohol,Terpenoid alcohols,dl-Menthol,71.0,1175,0.0,0.0,0.0,0.01,0.0027,AU × 10^6,HS-SPME-GC-MS; source method references prior VOC-identification procedure; LRI reported for every row,,partial_no_numeric_match_factor,no,normal_culinary_evidence,CE = commercial chicken egg control; breed values retained separately. Source-group taxonomy is preserved.
DEY-BOIL-022,egg:yolk_chicken,family:egg,yolk_carrier,boiled_100C_15min,SRC-EGG-YOLK-BOIL-001,Alcohol,Terpenoid alcohols,Levomenthol,71.1,1175,0.0,0.0,0.0,0.004,0.0011,AU × 10^6,HS-SPME-GC-MS; source method references prior VOC-identification procedure; LRI reported for every row,,partial_no_numeric_match_factor,no,normal_culinary_evidence,CE = commercial chicken egg control; breed values retained separately. Source-group taxonomy is preserved.
DEY-BOIL-023,egg:yolk_chicken,family:egg,yolk_carrier,boiled_100C_15min,SRC-EGG-YOLK-BOIL-001,Alcohol,Phenols,"Phenol, 2,4'-isopropylidenedi-",213.0,2042,0.017,0.0,0.0,0.0,0.0052,AU × 10^6,HS-SPME-GC-MS; source method references prior VOC-identification procedure; LRI reported for every row,,partial_no_numeric_match_factor,yes,normal_culinary_evidence,Source group Alcohol; normalized to Phenols.
DEY-BOIL-024,egg:yolk_chicken,family:egg,yolk_carrier,boiled_100C_15min,SRC-EGG-YOLK-BOIL-001,Aldehyde,Aldehyde,"Benzaldehyde, 4-methyl-",120.0,1070,0.0,0.001,0.0,0.0,0.0002,AU × 10^6,HS-SPME-GC-MS; source method references prior VOC-identification procedure; LRI reported for every row,,partial_no_numeric_match_factor,no,normal_culinary_evidence,CE = commercial chicken egg control; breed values retained separately. Source-group taxonomy is preserved.
DEY-BOIL-025,egg:yolk_chicken,family:egg,yolk_carrier,boiled_100C_15min,SRC-EGG-YOLK-BOIL-001,Aldehyde,Aldehyde,Benzeneacetaldehyde,91.1,1044,0.021,0.047,0.025,0.061,0.0045,AU × 10^6,HS-SPME-GC-MS; source method references prior VOC-identification procedure; LRI reported for every row,,partial_no_numeric_match_factor,yes,normal_culinary_evidence,CE = commercial chicken egg control; breed values retained separately. Source-group taxonomy is preserved.
DEY-BOIL-026,egg:yolk_chicken,family:egg,yolk_carrier,boiled_100C_15min,SRC-EGG-YOLK-BOIL-001,Aldehyde,Aldehyde,Decanal,57.0,1206,0.022,0.016,0.014,0.02,0.0016,AU × 10^6,HS-SPME-GC-MS; source method references prior VOC-identification procedure; LRI reported for every row,,partial_no_numeric_match_factor,yes,normal_culinary_evidence,CE = commercial chicken egg control; breed values retained separately. Source-group taxonomy is preserved.
DEY-BOIL-027,egg:yolk_chicken,family:egg,yolk_carrier,boiled_100C_15min,SRC-EGG-YOLK-BOIL-001,Aldehyde,Aldehyde,Hexadecanal,57.0,1817,0.006,0.002,0.005,0.013,0.0019,AU × 10^6,HS-SPME-GC-MS; source method references prior VOC-identification procedure; LRI reported for every row,,partial_no_numeric_match_factor,yes,normal_culinary_evidence,CE = commercial chicken egg control; breed values retained separately. Source-group taxonomy is preserved.
DEY-BOIL-028,egg:yolk_chicken,family:egg,yolk_carrier,boiled_100C_15min,SRC-EGG-YOLK-BOIL-001,Aldehyde,Aldehyde,"Hexanal, 5-methyl-",70.0,847,0.074,0.061,0.055,0.069,0.0039,AU × 10^6,HS-SPME-GC-MS; source method references prior VOC-identification procedure; LRI reported for every row,,partial_no_numeric_match_factor,yes,normal_culinary_evidence,CE = commercial chicken egg control; breed values retained separately. Source-group taxonomy is preserved.
DEY-BOIL-029,egg:yolk_chicken,family:egg,yolk_carrier,boiled_100C_15min,SRC-EGG-YOLK-BOIL-001,Aldehyde,Aldehyde,Nonanal,57.0,1111,0.129,0.099,0.051,0.159,0.014,AU × 10^6,HS-SPME-GC-MS; source method references prior VOC-identification procedure; LRI reported for every row,,partial_no_numeric_match_factor,yes,normal_culinary_evidence,CE = commercial chicken egg control; breed values retained separately. Source-group taxonomy is preserved.
DEY-BOIL-030,egg:yolk_chicken,family:egg,yolk_carrier,boiled_100C_15min,SRC-EGG-YOLK-BOIL-001,Aldehyde,Aldehyde,Octanal,41.1,998,0.025,0.0,0.039,0.055,0.007,AU × 10^6,HS-SPME-GC-MS; source method references prior VOC-identification procedure; LRI reported for every row,,partial_no_numeric_match_factor,yes,normal_culinary_evidence,CE = commercial chicken egg control; breed values retained separately. Source-group taxonomy is preserved.
DEY-BOIL-031,egg:yolk_chicken,family:egg,yolk_carrier,boiled_100C_15min,SRC-EGG-YOLK-BOIL-001,Aldehyde,Aldehyde,Pentadecanal,57.1,1717,0.0,0.0,0.0,0.004,0.001,AU × 10^6,HS-SPME-GC-MS; source method references prior VOC-identification procedure; LRI reported for every row,,partial_no_numeric_match_factor,no,normal_culinary_evidence,CE = commercial chicken egg control; breed values retained separately. Source-group taxonomy is preserved.
DEY-BOIL-032,egg:yolk_chicken,family:egg,yolk_carrier,boiled_100C_15min,SRC-EGG-YOLK-BOIL-001,Aldehyde,Aldehyde,"Propanal, 2,2-dimethyl-",57.1,554,4.306,5.836,6.705,1.389,0.1738,AU × 10^6,HS-SPME-GC-MS; source method references prior VOC-identification procedure; LRI reported for every row,,partial_no_numeric_match_factor,yes,normal_culinary_evidence,CE = commercial chicken egg control; breed values retained separately. Source-group taxonomy is preserved.
DEY-BOIL-033,egg:yolk_chicken,family:egg,yolk_carrier,boiled_100C_15min,SRC-EGG-YOLK-BOIL-001,Aldehyde,Aldehyde,"Propanal, 2-methyl-",43.0,542,0.568,0.0,0.0,0.0,0.1032,AU × 10^6,HS-SPME-GC-MS; source method references prior VOC-identification procedure; LRI reported for every row,,partial_no_numeric_match_factor,yes,normal_culinary_evidence,CE = commercial chicken egg control; breed values retained separately. Source-group taxonomy is preserved.
DEY-BOIL-034,egg:yolk_chicken,family:egg,yolk_carrier,boiled_100C_15min,SRC-EGG-YOLK-BOIL-001,Ester,Ester,"Arsenous acid, tris(trimethylsilyl) ester",207.0,700,5.695,6.629,9.687,7.79,0.292,AU × 10^6,HS-SPME-GC-MS; source method references prior VOC-identification procedure; LRI reported for every row,,partial_no_numeric_match_factor,yes,normal_culinary_evidence,Unusual source identity retained as reported; do not treat as a canonical culinary aroma driver without independent corroboration.
DEY-BOIL-035,egg:yolk_chicken,family:egg,yolk_carrier,boiled_100C_15min,SRC-EGG-YOLK-BOIL-001,Ester,Isothiocyanates,Benzoyl isothiocyanate,105.0,1069,0.146,0.123,0.104,0.141,0.0107,AU × 10^6,HS-SPME-GC-MS; source method references prior VOC-identification procedure; LRI reported for every row,,partial_no_numeric_match_factor,yes,normal_culinary_evidence,CE = commercial chicken egg control; breed values retained separately. Source-group taxonomy is preserved.
DEY-BOIL-036,egg:yolk_chicken,family:egg,yolk_carrier,boiled_100C_15min,SRC-EGG-YOLK-BOIL-001,Ester,Ester,"Borinic acid, diethyl-, methyl ester",43.1,585,1.013,1.981,1.861,0.483,0.0795,AU × 10^6,HS-SPME-GC-MS; source method references prior VOC-identification procedure; LRI reported for every row,,partial_no_numeric_match_factor,yes,normal_culinary_evidence,Unusual source identity retained; source group preserved.
DEY-BOIL-037,egg:yolk_chicken,family:egg,yolk_carrier,boiled_100C_15min,SRC-EGG-YOLK-BOIL-001,Ester,Ester,Butyl isocyanatoacetate,57.1,552,0.0,0.0,0.347,0.026,0.0375,AU × 10^6,HS-SPME-GC-MS; source method references prior VOC-identification procedure; LRI reported for every row,,partial_no_numeric_match_factor,no,normal_culinary_evidence,CE = commercial chicken egg control; breed values retained separately. Source-group taxonomy is preserved.
DEY-BOIL-038,egg:yolk_chicken,family:egg,yolk_carrier,boiled_100C_15min,SRC-EGG-YOLK-BOIL-001,Ester,Ester,"Butylphosphonic acid, di(2-phenylethyl) ester",104.0,819,0.0,0.022,0.0,0.0,0.0057,AU × 10^6,HS-SPME-GC-MS; source method references prior VOC-identification procedure; LRI reported for every row,,partial_no_numeric_match_factor,no,normal_culinary_evidence,CE = commercial chicken egg control; breed values retained separately. Source-group taxonomy is preserved.
DEY-BOIL-039,egg:yolk_chicken,family:egg,yolk_carrier,boiled_100C_15min,SRC-EGG-YOLK-BOIL-001,Ester,Ester,"Carbonic acid, decyl vinyl ester",57.0,1503,0.0,0.0,0.0,0.017,0.0036,AU × 10^6,HS-SPME-GC-MS; source method references prior VOC-identification procedure; LRI reported for every row,,partial_no_numeric_match_factor,no,normal_culinary_evidence,CE = commercial chicken egg control; breed values retained separately. Source-group taxonomy is preserved.
DEY-BOIL-040,egg:yolk_chicken,family:egg,yolk_carrier,boiled_100C_15min,SRC-EGG-YOLK-BOIL-001,Ester,Ester,Dibutyl phthalate,149.1,1965,0.018,0.0,0.019,0.0,0.0092,AU × 10^6,HS-SPME-GC-MS; source method references prior VOC-identification procedure; LRI reported for every row,,partial_no_numeric_match_factor,yes,present_not_flavor_relevant,"MR-17: genuinely detected sample constituent consistent with plasticizer migration; retain per-sample occurrence, exclude from flavor profiles and DF/IDF."
DEY-BOIL-041,egg:yolk_chicken,family:egg,yolk_carrier,boiled_100C_15min,SRC-EGG-YOLK-BOIL-001,Ester,Ester,Methyl salicylate,120.0,1194,0.041,0.037,0.051,0.065,0.0133,AU × 10^6,HS-SPME-GC-MS; source method references prior VOC-identification procedure; LRI reported for every row,,partial_no_numeric_match_factor,yes,normal_culinary_evidence,CE = commercial chicken egg control; breed values retained separately. Source-group taxonomy is preserved.
DEY-BOIL-042,egg:yolk_chicken,family:egg,yolk_carrier,boiled_100C_15min,SRC-EGG-YOLK-BOIL-001,Ester,Ester,n-Caproic acid vinyl ester,43.1,977,0.085,0.061,0.045,0.06,0.0148,AU × 10^6,HS-SPME-GC-MS; source method references prior VOC-identification procedure; LRI reported for every row,,partial_no_numeric_match_factor,yes,normal_culinary_evidence,CE = commercial chicken egg control; breed values retained separately. Source-group taxonomy is preserved.
DEY-BOIL-043,egg:yolk_chicken,family:egg,yolk_carrier,boiled_100C_15min,SRC-EGG-YOLK-BOIL-001,Ester,Ester,"Phthalic acid, di(2-propylpentyl) ester",149.0,2546,0.021,0.0,0.0,0.0,0.0079,AU × 10^6,HS-SPME-GC-MS; source method references prior VOC-identification procedure; LRI reported for every row,,partial_no_numeric_match_factor,yes,normal_culinary_evidence,CE = commercial chicken egg control; breed values retained separately. Source-group taxonomy is preserved.
DEY-BOIL-044,egg:yolk_chicken,family:egg,yolk_carrier,boiled_100C_15min,SRC-EGG-YOLK-BOIL-001,Hydrocarbon,Aromatic hydrocarbons,(E)-Stilbene,179.0,1710,0.002,0.0,0.0,0.0,0.0005,AU × 10^6,HS-SPME-GC-MS; source method references prior VOC-identification procedure; LRI reported for every row,,partial_no_numeric_match_factor,yes,normal_culinary_evidence,CE = commercial chicken egg control; breed values retained separately. Source-group taxonomy is preserved.
DEY-BOIL-045,egg:yolk_chicken,family:egg,yolk_carrier,boiled_100C_15min,SRC-EGG-YOLK-BOIL-001,Hydrocarbon,Isothiocyanates,"1-Butene, 4-isothiocyanato-",72.1,971,0.263,0.129,0.249,0.154,0.0286,AU × 10^6,HS-SPME-GC-MS; source method references prior VOC-identification procedure; LRI reported for every row,,partial_no_numeric_match_factor,yes,normal_culinary_evidence,Source group Hydrocarbon.
DEY-BOIL-046,egg:yolk_chicken,family:egg,yolk_carrier,boiled_100C_15min,SRC-EGG-YOLK-BOIL-001,Hydrocarbon,Hydrocarbons,1-Octadecyne,57.1,1817,0.0,0.003,0.003,0.0,0.0004,AU × 10^6,HS-SPME-GC-MS; source method references prior VOC-identification procedure; LRI reported for every row,,partial_no_numeric_match_factor,no,normal_culinary_evidence,CE = commercial chicken egg control; breed values retained separately. Source-group taxonomy is preserved.
DEY-BOIL-047,egg:yolk_chicken,family:egg,yolk_carrier,boiled_100C_15min,SRC-EGG-YOLK-BOIL-001,Hydrocarbon,Hydrocarbons,"1-Pentene, 3-methyl-",56.0,561,0.643,1.015,1.199,0.199,0.0978,AU × 10^6,HS-SPME-GC-MS; source method references prior VOC-identification procedure; LRI reported for every row,,partial_no_numeric_match_factor,yes,normal_culinary_evidence,CE = commercial chicken egg control; breed values retained separately. Source-group taxonomy is preserved.
DEY-BOIL-048,egg:yolk_chicken,family:egg,yolk_carrier,boiled_100C_15min,SRC-EGG-YOLK-BOIL-001,Hydrocarbon,Ethers,"1-Propene, 2-(1-methylethoxy)",43.0,609,0.0,0.032,0.0,0.0,0.0089,AU × 10^6,HS-SPME-GC-MS; source method references prior VOC-identification procedure; LRI reported for every row,,partial_no_numeric_match_factor,no,normal_culinary_evidence,Source group Hydrocarbon.
DEY-BOIL-049,egg:yolk_chicken,family:egg,yolk_carrier,boiled_100C_15min,SRC-EGG-YOLK-BOIL-001,Hydrocarbon,Alkanes,"2,4-Dimethyldodecane",57.0,1268,0.016,0.0,0.0,0.0,0.0023,AU × 10^6,HS-SPME-GC-MS; source method references prior VOC-identification procedure; LRI reported for every row,,partial_no_numeric_match_factor,yes,normal_culinary_evidence,CE = commercial chicken egg control; breed values retained separately. Source-group taxonomy is preserved.
DEY-BOIL-050,egg:yolk_chicken,family:egg,yolk_carrier,boiled_100C_15min,SRC-EGG-YOLK-BOIL-001,Hydrocarbon,Amines,2-Propen-1-amine,57.0,551,0.167,0.223,0.0,0.037,0.0353,AU × 10^6,HS-SPME-GC-MS; source method references prior VOC-identification procedure; LRI reported for every row,,partial_no_numeric_match_factor,yes,normal_culinary_evidence,Source group Hydrocarbon.
DEY-BOIL-051,egg:yolk_chicken,family:egg,yolk_carrier,boiled_100C_15min,SRC-EGG-YOLK-BOIL-001,Hydrocarbon,Aromatic hydrocarbons,"Benzene, 1,2,3-trimethyl-",105.0,1016,0.0,0.0,0.01,0.018,0.0033,AU × 10^6,HS-SPME-GC-MS; source method references prior VOC-identification procedure; LRI reported for every row,,partial_no_numeric_match_factor,no,normal_culinary_evidence,CE = commercial chicken egg control; breed values retained separately. Source-group taxonomy is preserved.
DEY-BOIL-052,egg:yolk_chicken,family:egg,yolk_carrier,boiled_100C_15min,SRC-EGG-YOLK-BOIL-001,Hydrocarbon,Aromatic hydrocarbons,"Benzene, 1,2,4,5-tetramethyl-",119.0,1123,0.0,0.0,0.0,0.01,0.002,AU × 10^6,HS-SPME-GC-MS; source method references prior VOC-identification procedure; LRI reported for every row,,partial_no_numeric_match_factor,no,normal_culinary_evidence,CE = commercial chicken egg control; breed values retained separately. Source-group taxonomy is preserved.
DEY-BOIL-053,egg:yolk_chicken,family:egg,yolk_carrier,boiled_100C_15min,SRC-EGG-YOLK-BOIL-001,Hydrocarbon,Aromatic hydrocarbons,"Benzene, 1,2,4-trimethyl-",105.0,981,0.004,0.007,0.023,0.037,0.0064,AU × 10^6,HS-SPME-GC-MS; source method references prior VOC-identification procedure; LRI reported for every row,,partial_no_numeric_match_factor,yes,normal_culinary_evidence,CE = commercial chicken egg control; breed values retained separately. Source-group taxonomy is preserved.
DEY-BOIL-054,egg:yolk_chicken,family:egg,yolk_carrier,boiled_100C_15min,SRC-EGG-YOLK-BOIL-001,Hydrocarbon,Aromatic hydrocarbons,"Benzene, 1,3-bis(1,1-dimethylethyl)-",175.1,1258,0.129,0.11,0.062,0.038,0.0083,AU × 10^6,HS-SPME-GC-MS; source method references prior VOC-identification procedure; LRI reported for every row,,partial_no_numeric_match_factor,yes,normal_culinary_evidence,CE = commercial chicken egg control; breed values retained separately. Source-group taxonomy is preserved.
DEY-BOIL-055,egg:yolk_chicken,family:egg,yolk_carrier,boiled_100C_15min,SRC-EGG-YOLK-BOIL-001,Hydrocarbon,Halogenated aromatics,"Benzene, 1,3-dichloro-",146.0,1029,0.0,0.035,0.0,0.0,0.0093,AU × 10^6,HS-SPME-GC-MS; source method references prior VOC-identification procedure; LRI reported for every row,,partial_no_numeric_match_factor,no,normal_culinary_evidence,CE = commercial chicken egg control; breed values retained separately. Source-group taxonomy is preserved.
DEY-BOIL-056,egg:yolk_chicken,family:egg,yolk_carrier,boiled_100C_15min,SRC-EGG-YOLK-BOIL-001,Hydrocarbon,Aromatic hydrocarbons,"Benzene, 1-ethyl-2-methyl-",105.0,963,0.0,0.0,0.0,0.006,0.0014,AU × 10^6,HS-SPME-GC-MS; source method references prior VOC-identification procedure; LRI reported for every row,,partial_no_numeric_match_factor,no,normal_culinary_evidence,CE = commercial chicken egg control; breed values retained separately. Source-group taxonomy is preserved.
DEY-BOIL-057,egg:yolk_chicken,family:egg,yolk_carrier,boiled_100C_15min,SRC-EGG-YOLK-BOIL-001,Hydrocarbon,Isonitriles,"Butane, 1-isocyano-",41.1,537,0.03,0.044,0.029,0.015,0.0049,AU × 10^6,HS-SPME-GC-MS; source method references prior VOC-identification procedure; LRI reported for every row,,partial_no_numeric_match_factor,yes,normal_culinary_evidence,Source group Hydrocarbon.
DEY-BOIL-058,egg:yolk_chicken,family:egg,yolk_carrier,boiled_100C_15min,SRC-EGG-YOLK-BOIL-001,Hydrocarbon,Cycloalkanes,"Cyclopentane, 1,2-dimethyl-, cis-",43.0,724,0.017,0.013,0.0,0.0,0.0021,AU × 10^6,HS-SPME-GC-MS; source method references prior VOC-identification procedure; LRI reported for every row,,partial_no_numeric_match_factor,yes,normal_culinary_evidence,CE = commercial chicken egg control; breed values retained separately. Source-group taxonomy is preserved.
DEY-BOIL-059,egg:yolk_chicken,family:egg,yolk_carrier,boiled_100C_15min,SRC-EGG-YOLK-BOIL-001,Hydrocarbon,Cycloalkanes,"Cyclopentane, 1-hexyl-3-methyl-",83.0,1192,0.01,0.008,0.05,0.0,0.0224,AU × 10^6,HS-SPME-GC-MS; source method references prior VOC-identification procedure; LRI reported for every row,,partial_no_numeric_match_factor,yes,normal_culinary_evidence,CE = commercial chicken egg control; breed values retained separately. Source-group taxonomy is preserved.
