record_id,product_id,family_id,material_role,preparation_state,source_id,compound_group,compound_name,odor_quality,detected_in_scrambled_chicken,concentration_ug_kg,odor_threshold_ug_kg,DoT_factor,ri_db_ffap,ri_db5,AEDA_FD_factor,quantitation_layer,mr10_role,culinary_relevance,notes
DEG-SCR-013,egg:whole_chicken,family:egg,whole egg composite,scrambled,SRC-EGG-SCRAMBLE-SENS-001,Aldehydes,"(E,Z)-2,6-Nonadienal",cucumber-like,yes,5.7,0.0045,1274,,,,SIDA_quantified,sensory_quantitative_not_MR10_detection_table,positive_culinary_odorant,
DEG-SCR-014,egg:whole_chicken,family:egg,whole egg composite,scrambled,SRC-EGG-SCRAMBLE-SENS-001,Sulfur compounds,Methanethiol,sulfury,yes,5.6,0.59,10,,,,headspace_semquant,sensory_quantitative_not_MR10_detection_table,positive_culinary_odorant,Hydrogen sulfide and methanethiol are direct cooked-egg culinary measurements; MR-14 does not classify them as spoilage-only compounds.
DEG-SCR-015,egg:whole_chicken,family:egg,whole egg composite,scrambled,SRC-EGG-SCRAMBLE-SENS-001,Aldehydes,(E)-2-Nonenal,"cardboard-like, fatty",yes,3.8,0.19,20,,,,SIDA_quantified,sensory_quantitative_not_MR10_detection_table,positive_culinary_odorant,
DEG-SCR-016,egg:whole_chicken,family:egg,whole egg composite,scrambled,SRC-EGG-SCRAMBLE-SENS-001,Ketones,1-Octen-3-one,mushroom-like,yes,1.0,0.016,63,1295.0,977.0,128.0,SIDA_quantified,sensory_quantitative_not_MR10_detection_table,positive_culinary_odorant,
DEG-SCR-017,egg:whole_chicken,family:egg,whole egg composite,scrambled,SRC-EGG-SCRAMBLE-SENS-001,Pyrazines,"2,3-Diethyl-5-methylpyrazine","earthy, roasty",yes,0.04,0.031,1.2,1481.0,1155.0,8.0,SIDA_quantified,sensory_quantitative_not_MR10_detection_table,positive_culinary_odorant,
DEG-SCR-018,egg:whole_chicken,family:egg,whole egg composite,scrambled,SRC-EGG-SCRAMBLE-SENS-001,Pyrazines,"2-Ethyl-3,6-dimethylpyrazine",earthy,no,,25.0,,1436.0,1060.0,8.0,AEDA_target_not_quantified_in_chicken,sensory_quantitative_not_MR10_detection_table,target_not_detected_or_not_quantified,
DEG-SCR-019,egg:whole_chicken,family:egg,whole egg composite,scrambled,SRC-EGG-SCRAMBLE-SENS-001,Aldehydes,"trans-4,5-Epoxy-(E)-2-decenal",metallic-like,no,,0.22,,,,,AEDA_target_not_quantified_in_chicken,sensory_quantitative_not_MR10_detection_table,target_not_detected_or_not_quantified,
DEG-SCR-020,egg:whole_chicken,family:egg,whole egg composite,scrambled,SRC-EGG-SCRAMBLE-SENS-001,Heterocycles,"3-Hydroxy-4,5-dimethyl-2(5H)-furanone (sotolon)",seasoning,no,,1.7,,,,,AEDA_target_not_quantified_in_chicken,sensory_quantitative_not_MR10_detection_table,target_not_detected_or_not_quantified,
DEG-SCR-021,egg:whole_chicken,family:egg,whole egg composite,scrambled,SRC-EGG-SCRAMBLE-SENS-001,Acids,Acetic acid,vinegar-like,no,,5600.0,,1436.0,618.0,0.0,AEDA_target_not_quantified_in_chicken,sensory_quantitative_not_MR10_detection_table,target_not_detected_or_not_quantified,
DEG-SCR-022,egg:whole_chicken,family:egg,whole egg composite,scrambled,SRC-EGG-SCRAMBLE-SENS-001,Heterocycles,2-Acetyl-1-pyrroline,"roasty, popcorn-like",no,,0.053,,1324.0,917.0,32.0,AEDA_target_not_quantified_in_chicken,sensory_quantitative_not_MR10_detection_table,target_not_detected_or_not_quantified,
